user_id,condition,fit_type,n_trials,test_acc,test_ll,spearman,combined
0,choice_only,partial,13,0.645,-0.6703291782946421,0.34303551998193926,0.07151775999096965
0,choice_only,blend,13,0.645,-0.6747920148347313,0.34303551998193926,0.07151775999096965
0,choice_only,standard,14,0.53,-0.6921031044386793,0.3076875975482031,-0.046156201225898474
0,choice_only,projected,14,0.62,-0.6748676407971178,0.29885061693976905,-0.050574691530115484
0,choice_only,partial,14,0.62,-0.6748676407971178,0.29885061693976905,-0.050574691530115484
0,choice_only,blend,14,0.61,-0.678424691568485,0.29885061693976905,-0.050574691530115484
0,choice_only,standard,15,0.545,-0.6920097270476461,0.3494624149698912,-0.0252687925150544
0,choice_only,projected,15,0.6,-0.6748153736212388,0.3301817300060352,-0.03490913499698242
0,choice_only,partial,15,0.6,-0.6748153736212388,0.3301817300060352,-0.03490913499698242
0,choice_only,blend,15,0.59,-0.6782617735616457,0.3301817300060352,-0.03490913499698242
0,choice_only,standard,16,0.52,-0.6921116592709986,0.3325918156265172,-0.03370409218674142
0,choice_only,projected,16,0.59,-0.6777112563600557,0.3293783681325412,0.06468918406627061
0,choice_only,partial,16,0.59,-0.6777112563600557,0.3293783681325412,0.06468918406627061
0,choice_only,blend,16,0.585,-0.6803652479526974,0.3293783681325412,0.06468918406627061
0,choice_only,standard,17,0.525,-0.6915155072999175,0.40007421300001345,0.10003710650000674
0,choice_only,projected,17,0.595,-0.6723014976872839,0.3655296524397713,0.08276482621988568
0,choice_only,partial,17,0.595,-0.6723014976872839,0.3655296524397713,0.08276482621988568
0,choice_only,blend,17,0.6,-0.6759784346638995,0.3655296524397713,0.08276482621988568
0,choice_only,standard,18,0.535,-0.6911457338638399,0.4161414504698935,0.10807072523494676
0,choice_only,projected,18,0.59,-0.6686974265226593,0.3502657768433853,-0.02486711157830737
0,choice_only,partial,18,0.59,-0.6686974265226593,0.3502657768433853,-0.02486711157830737
0,choice_only,blend,18,0.61,-0.6730172818845755,0.3502657768433853,-0.02486711157830737
0,choice_only,standard,19,0.54,-0.6911684793917848,0.274749760734949,-0.06262511963252551
0,choice_only,projected,19,0.595,-0.6704673532614005,0.2643060563795269,-0.06784697181023655
0,choice_only,partial,19,0.595,-0.6704673532614005,0.2643060563795269,-0.06784697181023655
0,choice_only,blend,19,0.59,-0.6742196679886451,0.2643060563795269,-0.06784697181023655
0,choice_only,standard,20,0.58,-0.6905539869752336,0.3084909594216971,-0.14575452028915145
0,choice_only,projected,20,0.61,-0.669405788621365,0.270732951367479,-0.06463352431626052
0,choice_only,partial,20,0.61,-0.669405788621365,0.270732951367479,-0.06463352431626052
0,choice_only,blend,20,0.615,-0.673138688085863,0.270732951367479,-0.06463352431626052
0,inference_affirm,standard,1,0.47,-0.6932280700936899,-0.01687059934337406,-0.20843529967168703
0,inference_affirm,projected,1,0.49,-0.6948373952250323,-0.01687059934337406,-0.20843529967168703
0,inference_affirm,partial,1,0.435,-0.6954366228127239,-0.1887900402710907,-0.39439502013554534
0,inference_affirm,blend,1,0.445,-0.6948649173276819,-0.1887900402710907,-0.39439502013554534
0,inference_affirm,standard,2,0.445,-0.6935460199794385,0.09077989170482231,-0.25461005414758886
0,inference_affirm,projected,2,0.42,-0.6981484919846069,0.07872946360241229,-0.26063526819879385
0,inference_affirm,partial,2,0.42,-0.6969526060575808,0.06346558800602624,-0.2682672059969869
0,inference_affirm,blend,2,0.425,-0.6960643416271671,0.06346558800602624,-0.2682672059969869
0,inference_affirm,standard,3,0.465,-0.6934547532144052,0.19200348776506668,-0.10399825611746667
0,inference_affirm,projected,3,0.46,-0.6961763251141382,0.1695093553072346,-0.11524532234638271
0,inference_affirm,partial,3,0.52,-0.691837755010728,0.279569931975913,0.03978496598795653
0,inference_affirm,blend,3,0.505,-0.6921095776731169,0.279569931975913,0.03978496598795653
0,inference_affirm,standard,4,0.54,-0.6929621735990225,0.1132740241626544,-0.24336298791867278
0,inference_affirm,projected,4,0.525,-0.691984462901381,0.10604376730120837,-0.24697811634939582
0,inference_affirm,partial,4,0.57,-0.688043585613901,0.21851442959036876,0.009257214795184404
0,inference_affirm,blend,4,0.57,-0.6891090399734244,0.21851442959036876,0.009257214795184404
0,inference_affirm,standard,5,0.585,-0.692000032172308,0.23538502893374283,0.017692514466871437
0,inference_affirm,projected,5,0.625,-0.6829326441815318,0.2506489045301289,0.025324452265064468
0,inference_affirm,partial,5,0.595,-0.6792914600793606,0.31411449253615514,0.057057246268077594
0,inference_affirm,blend,5,0.595,-0.6821600857107913,0.31411449253615514,0.057057246268077594
0,inference_affirm,standard,6,0.59,-0.6919485707291315,0.0811395492228943,-0.2594302253885528
0,inference_affirm,projected,6,0.545,-0.6865845777584181,0.07953282547590629,-0.2602335872620468
0,inference_affirm,partial,6,0.595,-0.6843739629916311,0.30045734068675706,-0.04977132965662148
0,inference_affirm,blend,6,0.6,-0.6860850449049342,0.30045734068675706,-0.04977132965662148
0,inference_affirm,standard,7,0.575,-0.6915084627062933,0.15665556533133054,-0.12167221733433474
0,inference_affirm,projected,7,0.575,-0.6827374209089793,0.10524040542771437,-0.1473797972861428
0,inference_affirm,partial,7,0.64,-0.6815642690726748,0.2442220095421769,-0.07788899522891156
0,inference_affirm,blend,7,0.645,-0.6838759166134507,0.2442220095421769,-0.07788899522891156
0,inference_affirm,standard,8,0.61,-0.69147315659795,0.18396986903012666,-0.10801506548493668
0,inference_affirm,projected,8,0.62,-0.6792884302722766,0.18236314528313863,-0.1088184273584307
0,inference_affirm,partial,8,0.635,-0.6776950820697928,0.24502537141567088,-0.07748731429216457
0,inference_affirm,blend,8,0.64,-0.6809041258806735,0.24502537141567088,-0.07748731429216457
0,inference_affirm,standard,9,0.575,-0.6919434286535199,0.053825245524098196,-0.17308737723795092
0,inference_affirm,projected,9,0.54,-0.6857037081115794,0.0281176655722901,-0.18594116721385495
0,inference_affirm,partial,9,0.62,-0.6791888594021063,0.277963208228925,0.038981604114462526
0,inference_affirm,blend,9,0.62,-0.682121478452808,0.277963208228925,0.038981604114462526
0,inference_affirm,standard,10,0.615,-0.691637059820281,0.10202695793373838,-0.14898652103313081
