condition,lambda,scale,alpha,test_ll_std,test_ll_part,test_acc_std,test_acc_part,delta_ll,delta_acc,n_obs
choice_only,0.05,1.0,0.3,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,0.5,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,0.75,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,1.0,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.0,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.02,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.05,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.1,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.15,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.2,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.3,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.5,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,0.75,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.5,1.0,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
inference_affirm,0.05,0.5,0.0,-0.6921247169780023,-0.6284584149985779,0.7125,0.675,0.06366630197942438,-0.0375,20
inference_affirm,0.05,0.5,0.02,-0.6921247169780023,-0.6286183534724409,0.7125,0.675,0.06350636350556138,-0.0375,20
inference_affirm,0.05,0.5,0.05,-0.6921247169780023,-0.628866610498699,0.7125,0.675,0.06325810647930323,-0.0375,20
inference_affirm,0.05,0.5,0.1,-0.6921247169780023,-0.6293045760248281,0.7125,0.675,0.06282014095317412,-0.0375,20
inference_affirm,0.05,0.5,0.15,-0.6921247169780023,-0.6297759923145048,0.7125,0.675,0.06234872466349754,-0.0375,20
inference_affirm,0.05,0.5,0.2,-0.6921247169780023,-0.6302843610863713,0.7125,0.675,0.06184035589163099,-0.0375,20
inference_affirm,0.05,0.5,0.3,-0.6921247169780023,-0.6314228497570616,0.7125,0.6875,0.0607018672209406,-0.025,20
inference_affirm,0.05,0.5,0.5,-0.6921247169780023,-0.6341980691457387,0.7125,0.6875,0.05792664783226349,-0.025,20
inference_affirm,0.05,0.5,0.75,-0.6921247169780023,-0.6383411221007155,0.7125,0.7125,0.053783594877286844,0.0,20
inference_affirm,0.05,0.5,1.0,-0.6921247169780023,-0.6426686199971298,0.7125,0.7,0.049456096980872555,-0.0125,20
inference_affirm,0.05,1.0,0.0,-0.6921247169780023,-0.6284584149985779,0.7125,0.675,0.06366630197942438,-0.0375,20
inference_affirm,0.05,1.0,0.02,-0.6921247169780023,-0.6285659798322094,0.7125,0.675,0.0635587371457929,-0.0375,20
inference_affirm,0.05,1.0,0.05,-0.6921247169780023,-0.6287758048857821,0.7125,0.6625,0.06334891209222011,-0.05,20
inference_affirm,0.05,1.0,0.1,-0.6921247169780023,-0.6292645671415349,0.7125,0.6625,0.06286014983646734,-0.05,20
inference_affirm,0.05,1.0,0.15,-0.6921247169780023,-0.6299384532925958,0.7125,0.6625,0.062186263685406515,-0.05,20
inference_affirm,0.05,1.0,0.2,-0.6921247169780023,-0.6308021380939738,0.7125,0.675,0.06132257888402846,-0.0375,20
inference_affirm,0.05,1.0,0.3,-0.6921247169780023,-0.6330638177975811,0.7125,0.6875,0.0590608991804211,-0.025,20
