persona_id,condition,trial,accuracy,log_likelihood
1,standard,43,0.72,-0.6912552829807389
1,projected,43,0.78,-0.692205625916375
1,slider,43,0.8,-0.6918788753811781
1,partial,43,0.78,-0.6915660552688904
1,standard,44,0.72,-0.6911995206109001
1,projected,44,0.78,-0.692143327114223
1,slider,44,0.8,-0.6918224478256109
1,partial,44,0.78,-0.6915099162264068
1,standard,45,0.72,-0.6910937505699317
1,projected,45,0.78,-0.6921316527009048
1,slider,45,0.8,-0.6918077080721577
1,partial,45,0.78,-0.69144957973277
1,standard,46,0.76,-0.691050864090552
1,projected,46,0.78,-0.692086068103243
1,slider,46,0.8,-0.6917621523128057
1,partial,46,0.76,-0.6914052836768027
1,standard,47,0.74,-0.6909674409088705
1,projected,47,0.8,-0.6920779784327852
1,slider,47,0.8,-0.6917441289341848
1,partial,47,0.78,-0.6913544415291015
1,standard,48,0.74,-0.690917038766836
1,projected,48,0.78,-0.6920827896338634
1,slider,48,0.8,-0.6917321320366776
1,partial,48,0.78,-0.6913231929840582
1,standard,49,0.74,-0.6908760927528687
1,projected,49,0.76,-0.6920567955446537
1,slider,49,0.8,-0.6917119815088761
1,partial,49,0.78,-0.691292646479031
1,standard,50,0.78,-0.6909062383285215
1,projected,50,0.78,-0.6920681797927
1,slider,50,0.8,-0.6916762222932398
1,partial,50,0.74,-0.6912898532472057
3,standard,0,0.38,-0.6931471803599452
3,projected,0,0.38,-0.6931471803599452
3,slider,0,0.38,-0.6931471803599452
3,partial,0,0.38,-0.6931471803599452
3,standard,1,0.34,-0.6931730314746308
3,projected,1,0.6,-0.6931381466515093
3,slider,1,0.72,-0.6931313728627876
3,partial,1,0.46,-0.6931522002508902
3,standard,2,0.5,-0.6931285145106991
3,projected,2,0.6,-0.6931241947818488
3,slider,2,0.7,-0.6931153562999797
3,partial,2,0.5,-0.693121926970648
3,standard,3,0.38,-0.6931960822107956
3,projected,3,0.56,-0.693121164831915
3,slider,3,0.68,-0.6931072109150803
3,partial,3,0.48,-0.6931516306283656
3,standard,4,0.52,-0.6931057231954653
3,projected,4,0.6,-0.6930822349705801
3,slider,4,0.68,-0.6930693041329201
3,partial,4,0.6,-0.6930874877599891
