lambda,scale,alpha,condition,fit,spearman,topn_sign,test_ll,test_acc,combined,rating_partial_vs_standard
0.1,0.75,1.0,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.75,1.0,inference_affirm,partial,0.5024375807306957,0.47,-0.6114566570872139,0.6671666666666667,0.2212187903653478,0.5726504065779745
0.1,0.75,1.0,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5726504065779745
0.1,0.75,1.0,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5726504065779745
0.1,0.75,1.0,inference_categories,partial,0.5801542487314649,0.5066666666666666,-0.5983214945838535,0.6796666666666666,0.2967437910323991,0.656497506297644
0.1,0.75,1.0,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.656497506297644
0.1,0.75,1.0,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.656497506297644
0.1,1.0,0.0,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,0.0,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,0.0,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.0,0.0,inference_affirm,partial,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5188982231853116
0.1,1.0,0.0,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5188982231853116
0.1,1.0,0.0,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5188982231853116
0.1,1.0,0.0,inference_categories,partial,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5134647756718196
0.1,1.0,0.0,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5134647756718196
0.1,1.0,0.0,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.5134647756718196
0.1,1.0,0.25,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,0.25,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,0.25,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.0,0.25,inference_affirm,partial,0.4851829563431151,0.48333333333333334,-0.5594644963883796,0.7208333333333333,0.22592481150489088,0.5854680475085227
0.1,1.0,0.25,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5854680475085227
0.1,1.0,0.25,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5854680475085227
0.1,1.0,0.25,inference_categories,partial,0.5285740949061185,0.4966666666666667,-0.5495284084702557,0.7295,0.26095371411972595,0.6275674687334434
0.1,1.0,0.25,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6275674687334434
0.1,1.0,0.25,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6275674687334434
0.1,1.0,0.5,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,0.5,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,0.5,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.0,0.5,inference_affirm,partial,0.507533565379137,0.48333333333333334,-0.5793743658337895,0.6965,0.23710011602290182,0.5942483544972512
0.1,1.0,0.5,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5942483544972512
0.1,1.0,0.5,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5942483544972512
0.1,1.0,0.5,inference_categories,partial,0.5747460620780909,0.53,-0.5634767539492679,0.7158333333333334,0.3173730310390454,0.6788089649550884
0.1,1.0,0.5,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6788089649550884
0.1,1.0,0.5,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6788089649550884
0.1,1.0,0.75,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,0.75,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,0.75,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.0,0.75,inference_affirm,partial,0.5104585871531715,0.51,-0.598461516798975,0.6811666666666666,0.26522929357658576,0.6215744221551542
0.1,1.0,0.75,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.6215744221551542
0.1,1.0,0.75,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.6215744221551542
0.1,1.0,0.75,inference_categories,partial,0.5923755716004818,0.5366666666666667,-0.5812990650777242,0.6988333333333333,0.3328544524669076,0.6912866387515606
0.1,1.0,0.75,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6912866387515606
0.1,1.0,0.75,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6912866387515606
0.1,1.0,1.0,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,1.0,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,1.0,1.0,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,1.0,1.0,inference_affirm,partial,0.5076248018549782,0.5,-0.6143998050692085,0.6673333333333333,0.2538124009274891,0.606946321098533
0.1,1.0,1.0,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.606946321098533
0.1,1.0,1.0,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.606946321098533
0.1,1.0,1.0,inference_categories,partial,0.5889511339840187,0.5166666666666667,-0.5983460243376695,0.6816666666666666,0.311142233658676,0.666688416768904
0.1,1.0,1.0,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.666688416768904
