lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,10,choice_only,standard,0.695,-0.6848514747283597,0.377715260958736,0.3,-0.011142369520632023,0.5511633187911958
0.1,0.5,0.0,10,choice_only,projected,0.785,-0.5420027174157538,0.4598640957412414,0.3,0.029932047870620676,0.5511633187911958
0.1,0.5,0.0,10,choice_only,partial,0.785,-0.5420027174157538,0.4598640957412414,0.3,0.029932047870620676,0.5511633187911958
0.1,0.5,0.0,10,inference_affirm,standard,0.675,-0.683313141694445,0.4107441739125268,0.4,0.10537208695626343,0.5211597345868906
0.1,0.5,0.0,10,inference_affirm,projected,0.74,-0.5274353450471482,0.444619982070261,0.4,0.12230999103513052,0.5211597345868906
0.1,0.5,0.0,10,inference_affirm,partial,0.74,-0.5274353450471482,0.444619982070261,0.4,0.12230999103513052,0.5211597345868906
0.1,0.5,0.0,10,inference_categories,standard,0.71,-0.683894453150335,0.46071099094518464,0.3,0.03035549547259231,0.5087327186809056
0.1,0.5,0.0,10,inference_categories,projected,0.775,-0.5111970106222096,0.47468476181025,0.3,0.03734238090512498,0.5087327186809056
0.1,0.5,0.0,10,inference_categories,partial,0.775,-0.5111970106222096,0.47468476181025,0.3,0.03734238090512498,0.5087327186809056
0.1,0.5,0.0,11,choice_only,standard,0.72,-0.6848068452261264,0.4470912673588716,0.5,0.2235456336794358,0.5331306991137327
0.1,0.5,0.0,11,choice_only,projected,0.79,-0.5118943417306658,0.5001781710897952,0.5,0.2500890855448976,0.5331306991137327
0.1,0.5,0.0,11,choice_only,partial,0.79,-0.5118943417306658,0.5001781710897952,0.5,0.2500890855448976,0.5331306991137327
0.1,0.5,0.0,11,inference_affirm,standard,0.71,-0.685257898812911,0.4470912673588716,0.5,0.2235456336794358,0.49844472463332296
0.1,0.5,0.0,11,inference_affirm,projected,0.765,-0.535098534453823,0.4446028187464846,0.5,0.2223014093732423,0.49844472463332296
0.1,0.5,0.0,11,inference_affirm,partial,0.765,-0.535098534453823,0.4446028187464846,0.5,0.2223014093732423,0.49844472463332296
0.1,0.5,0.0,11,inference_categories,standard,0.73,-0.6861224519468391,0.4595335104208068,0.4,0.12976675521040343,0.6229465361887037
0.1,0.5,0.0,11,inference_categories,projected,0.72,-0.5553098601958301,0.4603629932916025,0.5,0.23018149664580126,0.6229465361887037
0.1,0.5,0.0,11,inference_categories,partial,0.72,-0.5553098601958301,0.4603629932916025,0.5,0.23018149664580126,0.6229465361887037
0.1,0.5,0.0,12,choice_only,standard,0.485,-0.6940976498793442,0.1259204422154023,0.2,-0.23703977889229882,0.6559866156561301
0.1,0.5,0.0,12,choice_only,projected,0.58,-0.709001800401111,0.18410437068734678,0.3,-0.10794781465632662,0.6559866156561301
0.1,0.5,0.0,12,choice_only,partial,0.58,-0.709001800401111,0.18410437068734678,0.3,-0.10794781465632662,0.6559866156561301
0.1,0.5,0.0,12,inference_affirm,standard,0.51,-0.6928050987227506,0.17715703594442808,0.4,-0.011421482027785937,0.48426514211392196
