persona_id,condition,trial,accuracy,log_likelihood
1,slider,22,0.7,-0.6927091677949753
1,partial,22,0.54,-0.6926372518685489
1,standard,23,0.46,-0.6926960050462653
1,projected,23,0.6,-0.6929652227112709
1,slider,23,0.72,-0.6926870382732663
1,partial,23,0.58,-0.6926893184746403
1,standard,24,0.48,-0.692843419576584
1,projected,24,0.58,-0.6929582897299353
1,slider,24,0.68,-0.6926753951314376
1,partial,24,0.54,-0.6927571280521224
1,standard,25,0.48,-0.6927693363522012
1,projected,25,0.6,-0.6929155181215256
1,slider,25,0.72,-0.6926253184279726
1,partial,25,0.58,-0.6926949750548502
1,standard,26,0.5,-0.6928843874771767
1,projected,26,0.7,-0.692897808425873
1,slider,26,0.68,-0.6926073038738556
1,partial,26,0.56,-0.6927433053260791
1,standard,27,0.5,-0.6927584709052895
1,projected,27,0.7,-0.6928012360696569
1,slider,27,0.76,-0.6925055896277473
1,partial,27,0.58,-0.6926293877720908
1,standard,28,0.5,-0.6928580007920562
1,projected,28,0.68,-0.6928337505560684
1,slider,28,0.76,-0.692530342451571
1,partial,28,0.58,-0.692691604967488
1,standard,29,0.5,-0.692594145490867
1,projected,29,0.7,-0.692823832620161
1,slider,29,0.76,-0.6925204188534718
1,partial,29,0.6,-0.6925541758331418
1,standard,30,0.54,-0.692493771039819
1,projected,30,0.74,-0.6928170041472193
1,slider,30,0.76,-0.6925133803898913
1,partial,30,0.6,-0.6925003521012265
1,standard,31,0.52,-0.692340779605965
1,projected,31,0.72,-0.6927574529528303
1,slider,31,0.76,-0.6924485728664527
1,partial,31,0.6,-0.6923914222549707
1,standard,32,0.58,-0.6922856197415532
1,projected,32,0.7,-0.6927198242838913
1,slider,32,0.76,-0.6924072827840705
1,partial,32,0.62,-0.6923430841612186
1,standard,33,0.56,-0.6921011660878014
1,projected,33,0.7,-0.6926779234028168
1,slider,33,0.76,-0.6923672614182296
1,partial,33,0.66,-0.692230653101672
1,standard,34,0.56,-0.6922534036799085
1,projected,34,0.7,-0.6927200399448222
1,slider,34,0.76,-0.6924081518508568
1,partial,34,0.66,-0.6923271335001705
1,standard,35,0.58,-0.6921164628642719
1,projected,35,0.68,-0.6926820261240283
1,slider,35,0.76,-0.6923703194575351
1,partial,35,0.66,-0.6922397244913857
1,standard,36,0.56,-0.6920961322093961
1,projected,36,0.7,-0.6926193813775628
1,slider,36,0.76,-0.6923042572030402
1,partial,36,0.66,-0.6921965253189998
