lambda,gamma,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,test_acc_blend,test_ll_blend,delta_ll,delta_acc
0.001,0.0,0.0,R_70kbQcqJL4Tkq6B,inference_categories,dailydilemmas,3,4,0.75,-0.6910186881848221,0.5,-0.6618588611141134,0.75,-0.6910186881848221,0.0,0.0
0.001,0.0,0.0,R_70kbQcqJL4Tkq6B,inference_categories,dailydilemmas,4,4,0.75,-0.6910584094419714,0.75,-0.41079844119360265,0.75,-0.6910584094419714,0.0,0.0
0.001,0.0,0.0,R_6rftRMhNP0o6boD,inference_categories,dailydilemmas,0,4,0.25,-0.6927920742765155,0.25,-1.108205898383939,0.25,-0.6927920742765155,0.0,0.0
0.001,0.0,0.0,R_6rftRMhNP0o6boD,inference_categories,dailydilemmas,1,4,0.5,-0.6924913932327733,0.75,-0.512968562728713,0.5,-0.6924913932327733,0.0,0.0
0.001,0.0,0.0,R_6rftRMhNP0o6boD,inference_categories,dailydilemmas,2,4,0.75,-0.6930215747126403,0.25,-1.2129177066571752,0.75,-0.6930215747126403,0.0,0.0
0.001,0.0,0.0,R_6rftRMhNP0o6boD,inference_categories,dailydilemmas,3,4,0.75,-0.6913539511353748,0.5,-1.076720455141226,0.75,-0.6913539511353748,0.0,0.0
0.001,0.0,0.0,R_6rftRMhNP0o6boD,inference_categories,dailydilemmas,4,4,1.0,-0.6911317756524363,0.75,-0.7627265235917172,1.0,-0.6911317756524363,0.0,0.0
0.001,0.0,0.0,R_6jv2PrGBJcO4of6,inference_categories,dailydilemmas,0,4,1.0,-0.6913708595536875,1.0,-0.05262944184529765,1.0,-0.6913708595536875,0.0,0.0
0.001,0.0,0.0,R_6jv2PrGBJcO4of6,inference_categories,dailydilemmas,1,4,0.75,-0.6912995160513344,1.0,-0.17651238368048194,0.75,-0.6912995160513344,0.0,0.0
0.001,0.0,0.0,R_6jv2PrGBJcO4of6,inference_categories,dailydilemmas,2,4,0.5,-0.6926591280607736,0.5,-1.1482103227249931,0.5,-0.6926591280607736,0.0,0.0
0.001,0.0,0.0,R_6jv2PrGBJcO4of6,inference_categories,dailydilemmas,3,4,0.75,-0.6920955861097676,0.75,-0.6196776838268107,0.75,-0.6920955861097676,0.0,0.0
0.001,0.0,0.0,R_6jv2PrGBJcO4of6,inference_categories,dailydilemmas,4,4,0.5,-0.6944162521312823,0.5,-1.234426501687381,0.5,-0.6944162521312823,0.0,0.0
0.001,0.0,0.0,R_1dHqTtKKq3yQvmX,inference_categories,dailydilemmas,0,4,0.75,-0.6901793664806752,0.75,-0.918643559222329,0.75,-0.6901793664806752,0.0,0.0
0.001,0.0,0.0,R_1dHqTtKKq3yQvmX,inference_categories,dailydilemmas,1,4,0.5,-0.6905398035230048,0.5,-1.6728086870091492,0.5,-0.6905398035230048,0.0,0.0
0.001,0.0,0.0,R_1dHqTtKKq3yQvmX,inference_categories,dailydilemmas,2,4,0.75,-0.6916850396000928,0.25,-0.7182032375199798,0.75,-0.6916850396000928,0.0,0.0
0.001,0.0,0.0,R_1dHqTtKKq3yQvmX,inference_categories,dailydilemmas,3,4,0.75,-0.6917166981820564,0.75,-1.1217388775696395,0.75,-0.6917166981820564,0.0,0.0
0.001,0.0,0.0,R_1dHqTtKKq3yQvmX,inference_categories,dailydilemmas,4,4,0.75,-0.6905830384527758,0.75,-0.6702325539396703,0.75,-0.6905830384527758,0.0,0.0
0.001,0.0,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,0,4,1.0,-0.6920433577900249,0.5,-0.5356867240066041,1.0,-0.6920433577900249,0.0,0.0
0.001,0.0,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,1,4,1.0,-0.6919164570325738,1.0,-0.13388714159508797,1.0,-0.6919164570325738,0.0,0.0
0.001,0.0,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,2,4,0.75,-0.6928577825296892,0.75,-0.8000513499832552,0.75,-0.6928577825296892,0.0,0.0
0.001,0.0,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,3,4,0.25,-0.6932254130917721,0.5,-1.0366057562802693,0.25,-0.6932254130917721,0.0,0.0
0.001,0.0,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,4,4,1.0,-0.6913179800919581,1.0,-0.11733881373929927,1.0,-0.6913179800919581,0.0,0.0
0.001,0.0,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,0,4,0.5,-0.6920457681275483,0.5,-0.9468106479302905,0.5,-0.6920457681275483,0.0,0.0
0.001,0.0,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,1,4,0.75,-0.6918687893093179,0.75,-0.5841902157910562,0.75,-0.6918687893093179,0.0,0.0
0.001,0.0,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,2,4,0.75,-0.6916919699910548,1.0,-0.22838427887458929,0.75,-0.6916919699910548,0.0,0.0
0.001,0.0,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,3,4,0.75,-0.6921476975615788,0.75,-0.5050243090641537,0.75,-0.6921476975615788,0.0,0.0
0.001,0.0,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,4,4,0.5,-0.6933859969559947,0.5,-1.3142349601329375,0.5,-0.6933859969559947,0.0,0.0
0.001,0.0,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,0,4,0.25,-0.6927821561848767,0.25,-0.7025993184820108,0.25,-0.6927821561848767,0.0,0.0
