condition,lambda,gamma,alpha,test_ll_std,test_ll_part,test_ll_blend,test_acc_std,test_acc_part,test_acc_blend,delta_ll,delta_acc,n_obs
choice_only,0.01,1.0,1.0,-0.6926096445676121,-0.6426212821812662,-0.6426212821812662,0.6177419354838709,0.6225806451612903,0.6225806451612903,0.049988362386345915,0.004838709677419352,62
choice_only,0.025,0.0,0.0,-0.6926096445676121,-0.6449132594871446,-0.6926096445676121,0.6177419354838709,0.6266129032258064,0.6177419354838709,0.0,0.0,62
choice_only,0.025,0.0,0.25,-0.6926096445676121,-0.6449132594871446,-0.6926096445676121,0.6177419354838709,0.6266129032258064,0.6177419354838709,0.0,0.0,62
choice_only,0.025,0.0,0.5,-0.6926096445676121,-0.6449132594871446,-0.6926096445676121,0.6177419354838709,0.6266129032258064,0.6177419354838709,0.0,0.0,62
choice_only,0.025,0.0,0.75,-0.6926096445676121,-0.6449132594871446,-0.6926096445676121,0.6177419354838709,0.6266129032258064,0.6177419354838709,0.0,0.0,62
choice_only,0.025,0.0,1.0,-0.6926096445676121,-0.6449132594871446,-0.6926096445676121,0.6177419354838709,0.6266129032258064,0.6177419354838709,0.0,0.0,62
choice_only,0.025,0.25,0.0,-0.6926096445676121,-0.6449132594871446,-0.6753185410804703,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.017291103487141794,0.008870967741935482,62
choice_only,0.025,0.25,0.25,-0.6926096445676121,-0.6449132594871446,-0.6753185410804703,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.017291103487141794,0.008870967741935482,62
choice_only,0.025,0.25,0.5,-0.6926096445676121,-0.6449132594871446,-0.6753185410804703,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.017291103487141794,0.008870967741935482,62
choice_only,0.025,0.25,0.75,-0.6926096445676121,-0.6449132594871446,-0.6753185410804703,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.017291103487141794,0.008870967741935482,62
choice_only,0.025,0.25,1.0,-0.6926096445676121,-0.6449132594871446,-0.6753185410804703,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.017291103487141794,0.008870967741935482,62
choice_only,0.025,0.5,0.0,-0.6926096445676121,-0.6449132594871446,-0.6617466706275245,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.03086297394008765,0.008870967741935482,62
choice_only,0.025,0.5,0.25,-0.6926096445676121,-0.6449132594871446,-0.6617466706275245,0.6177419354838709,0.6266129032258064,0.6266129032258064,0.03086297394008765,0.008870967741935482,62
