persona_id,condition,trial,accuracy,log_likelihood
0,slider,46,0.5,-1.5731678757660612
0,partial,46,0.7,-0.5976892453094808
0,standard,47,0.7,-0.7789594182150518
0,projected,47,0.72,-0.6222498838810242
0,slider,47,0.48,-1.6333790696990826
0,partial,47,0.68,-0.6086610663959692
0,standard,48,0.7,-0.7676958037066612
0,projected,48,0.72,-0.6379312760261272
0,slider,48,0.46,-1.8409083628554506
0,partial,48,0.68,-0.5816067658480529
0,standard,49,0.7,-0.7685772207903574
0,projected,49,0.7,-0.6411055648659898
0,slider,49,0.46,-2.0450828886163435
0,partial,49,0.68,-0.614624569865271
0,standard,50,0.7,-0.9552164555121352
0,projected,50,0.7,-0.5420846630808461
0,slider,50,0.46,-2.055794423417613
0,partial,50,0.72,-0.7502724429617778
1,standard,0,0.58,-0.6931471803599452
1,projected,0,0.58,-0.6931471803599452
1,slider,0,0.58,-0.6931471803599452
1,partial,0,0.58,-0.6931471803599452
1,standard,1,0.56,-0.6760555395735105
1,projected,1,0.52,-0.690188409964206
1,slider,1,0.34,-0.8498241849053478
1,partial,1,0.32,-0.7378168546150533
1,standard,2,0.64,-0.6455099263374743
1,projected,2,0.6,-0.6452836583963921
1,slider,2,0.5,-0.7398187689961597
1,partial,2,0.58,-0.6720492493128293
1,standard,3,0.66,-0.7686935464202388
1,projected,3,0.62,-0.6321714261606979
1,slider,3,0.62,-0.6247967670200798
1,partial,3,0.68,-0.669968663031041
1,standard,4,0.66,-0.7787957127855525
1,projected,4,0.64,-0.5913548825530444
1,slider,4,0.56,-0.6820823494775958
1,partial,4,0.6,-0.6864263304962906
1,standard,5,0.66,-0.7151925550632318
1,projected,5,0.74,-0.5413314115251564
1,slider,5,0.78,-0.5851511967605147
1,partial,5,0.72,-0.5257825566385599
1,standard,6,0.74,-0.6305801166264814
1,projected,6,0.8,-0.5164080020540476
1,slider,6,0.88,-0.51535641153565
1,partial,6,0.8,-0.4412183806881577
1,standard,7,0.72,-0.7020310978866686
1,projected,7,0.86,-0.48481771501283943
1,slider,7,0.9,-0.44943302956937337
1,partial,7,0.8,-0.45317476238280846
1,standard,8,0.72,-0.7174154149186579
1,projected,8,0.8,-0.48939229950800317
1,slider,8,0.78,-0.4988247300199772
1,partial,8,0.8,-0.4542930722303374
1,standard,9,0.7,-0.717329340572243
1,projected,9,0.84,-0.45177170585973775
1,slider,9,0.76,-0.5067692504693728
1,partial,9,0.76,-0.4593400911426495
1,standard,10,0.64,-0.9420725860721059
1,projected,10,0.82,-0.489121321297765
1,slider,10,0.78,-0.5521462991822987
1,partial,10,0.72,-0.5541299368235908
1,standard,11,0.66,-0.9476719215566491
1,projected,11,0.78,-0.49482311316417393
1,slider,11,0.66,-0.6037883593157777
1,partial,11,0.72,-0.5696752052420432
1,standard,12,0.66,-0.943993102382494
1,projected,12,0.76,-0.4987445953884317
1,slider,12,0.6,-0.6645619114018995
1,partial,12,0.74,-0.5619110563565693
1,standard,13,0.68,-0.7840065612173365
1,projected,13,0.86,-0.4188388899225492
1,slider,13,0.72,-0.6013566904293205
1,partial,13,0.74,-0.5082390211062905
1,standard,14,0.7,-0.8129633013352323
1,projected,14,0.84,-0.41401862696923614
1,slider,14,0.74,-0.6078782173813978
1,partial,14,0.7,-0.5204850032039416
1,standard,15,0.68,-0.839177576985745
1,projected,15,0.84,-0.4107651015456827
1,slider,15,0.76,-0.5335050150366359
1,partial,15,0.74,-0.5110642988773235
1,standard,16,0.68,-0.8466646373890488
1,projected,16,0.88,-0.39834094961924094
1,slider,16,0.76,-0.5112683362905718
1,partial,16,0.8,-0.5032830159094918
1,standard,17,0.68,-0.8814050993009614
1,projected,17,0.88,-0.3699432652851486
1,slider,17,0.8,-0.5068010355798046
1,partial,17,0.78,-0.5169889966122121
1,standard,18,0.68,-0.881075526369363
1,projected,18,0.88,-0.36919453782658623
1,slider,18,0.76,-0.4991927377562309
1,partial,18,0.78,-0.5161495060296175
1,standard,19,0.7,-0.8839339872789008
1,projected,19,0.88,-0.3695071389375368
1,slider,19,0.8,-0.5021554749422529
1,partial,19,0.76,-0.5194409996995809
1,standard,20,0.7,-0.8798041950590734
1,projected,20,0.88,-0.3635699081969914
1,slider,20,0.8,-0.4952573500115166
1,partial,20,0.78,-0.5137772432793372
