user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial,test_acc_blend,test_ll_blend,spearman_blend,topn_sign_blend,topn_overlap_blend,combined_blend
46,inference_categories,20,0.8388344880519001,0.505,-0.691964202815953,0.2240199137663193,0.4,0.6,0.012009956883159673,0.53,-0.6971548261071989,0.30555097081732663,0.5,0.6,0.15277548540866331,0.62,-0.671377906562864,0.4838525348354175,0.6,0.7,0.3419262674177087,0.62,-0.671377906562864,0.4838525348354175,0.6,0.7,0.3419262674177087
47,choice_only,20,0.584373623540561,0.55,-0.6905637624910773,0.4373443831388071,0.3,0.2,0.01867219156940353,0.58,-0.6498515138057255,0.3736459117047357,0.4,0.3,0.08682295585236788,0.58,-0.6498515138057255,0.3736459117047357,0.4,0.3,0.08682295585236788,0.58,-0.6498515138057255,0.3736459117047357,0.4,0.3,0.08682295585236788
47,inference_affirm,20,0.5218339047965687,0.52,-0.6920144697429379,0.15691574670344413,0.3,0.4,-0.12154212664827795,0.47,-0.7627228000485896,0.18954179304772456,0.3,0.4,-0.10522910347613773,0.505,-0.7273161112561966,0.19187222492945888,0.3,0.4,-0.10406388753527057,0.505,-0.7273161112561966,0.19187222492945888,0.3,0.4,-0.10406388753527057
47,inference_categories,20,0.5469553725048693,0.52,-0.6920424332848728,0.6214485017958182,0.6,0.5,0.4107242508979091,0.575,-0.6706013487251229,0.5336689009171589,0.4,0.4,0.16683445045857948,0.645,-0.6455868323774289,0.6967991326385612,0.6,0.5,0.4483995663192806,0.645,-0.6455868323774289,0.6967991326385612,0.6,0.5,0.4483995663192806
48,choice_only,20,0.49117853838139913,0.465,-0.6928500862132588,0.21879495166070806,0.4,0.7,0.009397475830354052,0.53,-0.7516346071873085,0.20467914832775916,0.4,0.7,0.0023395741638796014,0.53,-0.7516346071873085,0.20467914832775916,0.4,0.7,0.0023395741638796014,0.53,-0.7516346071873085,0.20467914832775916,0.4,0.7,0.0023395741638796014
48,inference_affirm,20,0.6224593312018547,0.47,-0.6949698486409409,-0.2346752304102756,0.1,0.6,-0.5173376152051379,0.475,-0.7198533641284751,-0.19409229582804746,0.2,0.7,-0.3970461479140237,0.515,-0.7419482149241035,-0.2346752304102756,0.2,0.6,-0.4173376152051378,0.515,-0.7419482149241035,-0.2346752304102756,0.2,0.6,-0.4173376152051378
48,inference_categories,20,0.3429939518088338,0.5,-0.692831392428022,0.19762124666128472,0.3,0.5,-0.10118937666935765,0.565,-0.6916741934467246,0.2064436237443778,0.2,0.4,-0.1967781881278111,0.59,-0.7181313182415556,0.13762908249625183,0.2,0.4,-0.23118545875187407,0.59,-0.7181313182415556,0.13762908249625183,0.2,0.4,-0.23118545875187407
49,choice_only,20,0.5963218681500765,0.58,-0.6906162264919167,0.33334289909555914,0.6,0.6,0.26667144954777955,0.635,-0.6388329024389644,0.4894079836721164,0.6,0.6,0.34470399183605815,0.635,-0.6388329024389644,0.4894079836721164,0.6,0.6,0.34470399183605815,0.635,-0.6388329024389644,0.4894079836721164,0.6,0.6,0.34470399183605815
49,inference_affirm,20,0.7197444869836702,0.505,-0.692914262283995,0.19849054446144657,0.5,0.5,0.09924527223072328,0.575,-0.6773813233035421,0.21667288441211346,0.4,0.4,0.008336442206056754,0.685,-0.6290683980882992,0.3757683589804485,0.6,0.5,0.28788417949022427,0.685,-0.6290683980882992,0.3757683589804485,0.6,0.5,0.28788417949022427
49,inference_categories,20,0.7951226989684854,0.535,-0.6914265023871369,0.2621287342887806,0.5,0.5,0.1310643671443903,0.6,-0.6740551681666119,0.47274083871733835,0.6,0.5,0.3363704193586692,0.67,-0.6074907765413746,0.6045628033596732,0.6,0.6,0.40228140167983656,0.67,-0.6074907765413746,0.6045628033596732,0.6,0.6,0.40228140167983656
50,choice_only,20,0.5150588620127997,0.55,-0.6914930000732623,0.3086841899231082,0.3,0.5,-0.04565790503844591,0.57,-0.6877652743106489,0.3327856582053929,0.3,0.4,-0.03360717089730356,0.57,-0.6877652743106489,0.3327856582053929,0.3,0.4,-0.03360717089730356,0.57,-0.6877652743106489,0.3327856582053929,0.3,0.4,-0.03360717089730356
50,inference_affirm,20,0.31924648181731247,0.56,-0.6919187401159251,0.23081790778034214,0.3,0.5,-0.08459104610982894,0.575,-0.6818393552074979,0.2706780284010438,0.3,0.5,-0.0646609857994781,0.465,-0.7458370203552046,0.12792317780597276,0.2,0.5,-0.23603841109701362,0.465,-0.7458370203552046,0.12792317780597276,0.2,0.5,-0.23603841109701362
50,inference_categories,20,0.10701074917335812,0.53,-0.6910645691483662,0.5886320138173384,0.4,0.6,0.19431600690866924,0.6,-0.6698427430069781,0.5830701365214265,0.4,0.5,0.19153506826071326,0.495,-0.7798127678273515,0.13997391194711511,0.2,0.4,-0.23001304402644243,0.495,-0.7798127678273515,0.13997391194711511,0.2,0.4,-0.23001304402644243
51,choice_only,20,0.5120480954755505,0.535,-0.692032554971714,0.4418490304217016,0.5,0.6,0.2209245152108508,0.59,-0.6717801986514231,0.4611297153855577,0.5,0.6,0.23056485769277885,0.59,-0.6717801986514231,0.4611297153855577,0.5,0.6,0.23056485769277885,0.59,-0.6717801986514231,0.4611297153855577,0.5,0.6,0.23056485769277885
51,inference_affirm,20,0.4440234950336528,0.57,-0.692203510202543,0.546286073975922,0.7,0.7,0.47314303698796095,0.58,-0.6884666453133977,0.562353311445802,0.6,0.7,0.381176655722901,0.545,-0.6895584436222544,0.6563466506446004,0.6,0.6,0.4281733253223002,0.545,-0.6895584436222544,0.6563466506446004,0.6,0.6,0.4281733253223002
51,inference_categories,20,0.3803985792792743,0.54,-0.6920821832925952,0.4450624779156776,0.7,0.8,0.42253123895783873,0.575,-0.6837307207127605,0.4956742759457998,0.6,0.7,0.3478371379728999,0.56,-0.6881509560000345,0.6499197556566483,0.5,0.6,0.32495987782832414,0.56,-0.6881509560000345,0.6499197556566483,0.5,0.6,0.32495987782832414
