lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,7,inference_affirm,standard,0.75,-0.6924809262497371,0.3288010793561471,0.5,0.16440053967807355,0.4875189074969367
0.1,0.5,0.0,7,inference_affirm,projected,0.72,-0.6517096285533265,0.3088271820120821,0.5,0.15441359100604105,0.4875189074969367
0.1,0.5,0.0,7,inference_affirm,partial,0.72,-0.6517096285533265,0.3088271820120821,0.5,0.15441359100604105,0.4875189074969367
0.1,0.5,0.0,7,inference_categories,standard,0.66,-0.6924674525815643,0.298072006519124,0.6,0.249036003259562,0.5
0.1,0.5,0.0,7,inference_categories,projected,0.71,-0.6588160589335765,0.298072006519124,0.6,0.249036003259562,0.5
0.1,0.5,0.0,7,inference_categories,partial,0.71,-0.6588160589335765,0.298072006519124,0.6,0.249036003259562,0.5
0.1,0.5,0.0,8,choice_only,standard,0.78,-0.692255390241529,0.40310440109581214,0.4,0.10155220054790609,0.5
0.1,0.5,0.0,8,choice_only,projected,0.84,-0.6517656920796557,0.40310440109581214,0.4,0.10155220054790609,0.5
0.1,0.5,0.0,8,choice_only,partial,0.84,-0.6517656920796557,0.40310440109581214,0.4,0.10155220054790609,0.5
0.1,0.5,0.0,8,inference_affirm,standard,0.79,-0.6920190905623381,0.38698022505197965,0.3,-0.006509887474010184,0.6392555473508705
0.1,0.5,0.0,8,inference_affirm,projected,0.83,-0.634604842657428,0.4158340137619956,0.4,0.10791700688099781,0.6392555473508705
0.1,0.5,0.0,8,inference_affirm,partial,0.83,-0.634604842657428,0.4158340137619956,0.4,0.10791700688099781,0.6392555473508705
0.1,0.5,0.0,8,inference_categories,standard,0.75,-0.6916110276736579,0.4879684855370357,0.4,0.14398424276851787,0.6214616455375901
0.1,0.5,0.0,8,inference_categories,projected,0.75,-0.6287257985222865,0.4862712038482112,0.5,0.2431356019241056,0.6214616455375901
0.1,0.5,0.0,8,inference_categories,partial,0.75,-0.6287257985222865,0.4862712038482112,0.5,0.2431356019241056,0.6214616455375901
0.1,0.5,0.0,9,choice_only,standard,0.64,-0.6923794537844143,0.1605672629122938,0.3,-0.1197163685438531,0.5
0.1,0.5,0.0,9,choice_only,projected,0.79,-0.6436156172242059,0.1605672629122938,0.3,-0.1197163685438531,0.5
0.1,0.5,0.0,9,choice_only,partial,0.79,-0.6436156172242059,0.1605672629122938,0.3,-0.1197163685438531,0.5
0.1,0.5,0.0,9,inference_affirm,standard,0.78,-0.6922444140306583,0.2505555091598431,0.3,-0.07472224542007846,0.5110261834625073
0.1,0.5,0.0,9,inference_affirm,projected,0.85,-0.6383137891370307,0.26820026332602925,0.3,-0.06589986833698538,0.5110261834625073
0.1,0.5,0.0,9,inference_affirm,partial,0.85,-0.6383137891370307,0.26820026332602925,0.3,-0.06589986833698538,0.5110261834625073
0.1,0.5,0.0,9,inference_categories,standard,0.56,-0.6931076490695588,-0.13410013166301463,0.2,-0.3670500658315073,0.5429033247277623
0.1,0.5,0.0,9,inference_categories,projected,0.54,-0.6891489332200975,-0.0652855904148887,0.2,-0.33264279520744433,0.5429033247277623
0.1,0.5,0.0,9,inference_categories,partial,0.54,-0.6891489332200975,-0.0652855904148887,0.2,-0.33264279520744433,0.5429033247277623
