lambda,scale,alpha,condition,fit,spearman,topn_sign,test_ll,test_acc,combined,rating_partial_vs_standard
0.1,1.0,1.0,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.0,1.0,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.0,1.0,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,1.0,1.0,inference_affirm,partial,0.22901237793824336,0.4033333333333333,-0.6590026230843246,0.6839999999999999,0.017839522302455012,0.5581333851386071
0.1,1.0,1.0,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5581333851386071
0.1,1.0,1.0,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5581333851386071
0.1,1.0,1.0,inference_categories,partial,0.21466903139089694,0.42,-0.6558822338722089,0.6863333333333334,0.027334515695448473,0.5061992206106487
0.1,1.0,1.0,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5061992206106487
0.1,1.0,1.0,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5061992206106487
0.1,1.25,0.0,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,0.0,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,0.0,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,1.25,0.0,inference_affirm,partial,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5329071981603242
0.1,1.25,0.0,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5329071981603242
0.1,1.25,0.0,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5329071981603242
0.1,1.25,0.0,inference_categories,partial,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5468212862395951
0.1,1.25,0.0,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5468212862395951
0.1,1.25,0.0,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5468212862395951
0.1,1.25,0.25,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,0.25,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,0.25,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,1.25,0.25,inference_affirm,partial,0.2136611655878107,0.39666666666666667,-0.6493772353217023,0.6859999999999999,0.0034972494605720245,0.5425191017521
0.1,1.25,0.25,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5425191017521
0.1,1.25,0.25,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5425191017521
0.1,1.25,0.25,inference_categories,partial,0.2521106700276976,0.42,-0.6432626227020196,0.7183333333333334,0.046055335013848814,0.5261733132180493
0.1,1.25,0.25,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5261733132180493
0.1,1.25,0.25,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5261733132180493
0.1,1.25,0.5,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,0.5,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,0.5,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,1.25,0.5,inference_affirm,partial,0.2239474461352773,0.38666666666666666,-0.6526736894206571,0.6869999999999999,-0.00135961026569468,0.5371749792785576
0.1,1.25,0.5,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5371749792785576
0.1,1.25,0.5,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5371749792785576
0.1,1.25,0.5,inference_categories,partial,0.2356660424774768,0.41000000000000003,-0.6482303971450575,0.703,0.0278330212387384,0.5072740569977738
0.1,1.25,0.5,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5072740569977738
0.1,1.25,0.5,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5072740569977738
0.1,1.25,0.75,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,0.75,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,1.25,0.75,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,1.25,0.75,inference_affirm,partial,0.22549591794178733,0.38333333333333336,-0.6563369572196733,0.6843333333333333,-0.003918707695773014,0.5370668436981133
0.1,1.25,0.75,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5370668436981133
