participant_id,qualtrics_response_id,condition,domain,n_trials,loo_random,loo_proj_only,loo_proj_alpha,h1_augmented,h1_baseline,h2_signed_likert,h3_aug_minus_base
R_6wqpfRGVMTZcucx,R_6wqpfRGVMTZcucx,choice_only,movies_100,20,0.65,0.65,,0.65,0.65,-2.0,5.0
R_62P9yd7xyYKEMUP,R_62P9yd7xyYKEMUP,inference_affirm,movies_100,20,0.55,0.5,0.5,0.5,0.5,2.0,4.0
R_6nQ3YCkmlXjtldX,R_6nQ3YCkmlXjtldX,inference_affirm,movies_100,20,0.45,0.6,0.6,0.6,0.6,1.0,5.0
R_6tusjZbEPoiXaEK,R_6tusjZbEPoiXaEK,inference_affirm,movies_100,20,0.7,0.7,0.6,0.6,0.7,2.0,0.0
R_1MGLLMSIWd8FbqY,R_1MGLLMSIWd8FbqY,inference_categories,movies_100,20,0.6,0.65,0.8,0.8,0.65,-1.0,-1.0
R_7QgdDKIfEawvPo9,R_7QgdDKIfEawvPo9,choice_only,movies_100,20,0.5,0.4,,0.4,0.5,1.0,4.0
R_1kxTUtJKXM74OUF,R_1kxTUtJKXM74OUF,inference_affirm,movies_100,20,0.65,0.6,0.7,0.7,0.6,-2.0,-2.0
R_7Y6ynmc1rtcLldL,R_7Y6ynmc1rtcLldL,choice_only,movies_100,20,0.55,0.6,,0.6,0.55,-1.0,4.0
R_7ze9r4ZUMG8lSUe,R_7ze9r4ZUMG8lSUe,choice_only,movies_100,20,0.45,0.5,,0.5,0.45,-2.0,4.0
R_7C8AwRKg9KFFdbC,R_7C8AwRKg9KFFdbC,inference_affirm,movies_100,20,0.6,0.75,0.75,0.75,0.75,3.0,3.0
R_3D7saD0Uij5kvHu,R_3D7saD0Uij5kvHu,choice_only,movies_100,20,0.7,0.6,,0.6,0.7,-2.0,3.0
R_67ONPWLmSQmzkgz,R_67ONPWLmSQmzkgz,inference_categories,movies_100,20,0.55,0.75,0.8,0.8,0.75,1.0,-1.0
R_1eqmstbfExk3csY,R_1eqmstbfExk3csY,inference_categories,movies_100,20,0.35,0.55,0.45,0.45,0.55,2.0,-2.0
R_7Qtu4iAQ9OBIOkY,R_7Qtu4iAQ9OBIOkY,choice_only,movies_100,20,0.65,0.55,,0.55,0.65,-1.0,5.0
R_6WCpLWCS4lpsA0b,R_6WCpLWCS4lpsA0b,inference_affirm,movies_100,20,0.25,0.8,0.8,0.8,0.8,3.0,-2.0
R_50YfDTMEfpp4dS1,R_50YfDTMEfpp4dS1,inference_affirm,movies_100,20,0.35,0.55,0.55,0.55,0.55,1.0,-1.0
R_7HbMaiY6gqhSucr,R_7HbMaiY6gqhSucr,choice_only,movies_100,20,0.6,0.6,,0.6,0.6,3.0,2.0
R_6qq69TZ9bNyuf8l,R_6qq69TZ9bNyuf8l,inference_affirm,movies_100,20,0.4,0.6,0.6,0.6,0.6,-2.0,0.0
R_5TF7m7rjXDjALBm,R_5TF7m7rjXDjALBm,inference_categories,movies_100,20,0.5,0.65,0.65,0.65,0.65,2.0,2.0
R_6EhTGnKo2821vRR,R_6EhTGnKo2821vRR,choice_only,movies_100,20,0.6,0.9,,0.9,0.6,3.0,3.0
R_3svLwVpcinkocow,R_3svLwVpcinkocow,inference_categories,movies_100,20,0.6,0.4,0.4,0.4,0.4,-3.0,-3.0
R_5EZibGeZUKTMrlD,R_5EZibGeZUKTMrlD,inference_affirm,movies_100,20,0.35,0.5,0.55,0.55,0.5,-1.0,2.0
