persona_id,condition,fit_type,n_trials,test_acc,test_ll
1,choice_only,partial,7,0.66,-0.6511280049400571
1,choice_only,standard,8,0.7,-0.6890019425499109
1,choice_only,projected,8,0.7,-0.5855820726683723
1,choice_only,partial,8,0.7,-0.5855820726683723
1,choice_only,standard,9,0.68,-0.6887377366406864
1,choice_only,projected,9,0.7,-0.5789690945838314
1,choice_only,partial,9,0.7,-0.5789690945838314
1,choice_only,standard,10,0.68,-0.6887632138298584
1,choice_only,projected,10,0.7,-0.5880901740708857
1,choice_only,partial,10,0.7,-0.5880901740708857
1,choice_only,standard,11,0.64,-0.6882827423988274
1,choice_only,projected,11,0.64,-0.5696368936485849
1,choice_only,partial,11,0.64,-0.5696368936485849
1,choice_only,standard,12,0.7,-0.6867709314274747
1,choice_only,projected,12,0.72,-0.5275419471147201
1,choice_only,partial,12,0.72,-0.5275419471147201
1,choice_only,standard,13,0.7,-0.6866111277674166
1,choice_only,projected,13,0.74,-0.5281319816555168
1,choice_only,partial,13,0.74,-0.5281319816555168
1,choice_only,standard,14,0.7,-0.6865829054838026
1,choice_only,projected,14,0.68,-0.5354275149077824
1,choice_only,partial,14,0.68,-0.5354275149077824
1,choice_only,standard,15,0.72,-0.6864120793500906
1,choice_only,projected,15,0.72,-0.5157230651043233
1,choice_only,partial,15,0.72,-0.5157230651043233
1,choice_only,standard,16,0.72,-0.6854470163353659
1,choice_only,projected,16,0.74,-0.5322302997678408
1,choice_only,partial,16,0.74,-0.5322302997678408
1,choice_only,standard,17,0.74,-0.6844120688699938
1,choice_only,projected,17,0.76,-0.5046261833122211
1,choice_only,partial,17,0.76,-0.5046261833122211
1,choice_only,standard,18,0.72,-0.6840652297338313
1,choice_only,projected,18,0.78,-0.4937901061767747
1,choice_only,partial,18,0.78,-0.4937901061767747
1,choice_only,standard,19,0.76,-0.6825855367018202
1,choice_only,projected,19,0.8,-0.48055281920896414
1,choice_only,partial,19,0.8,-0.48055281920896414
1,choice_only,standard,20,0.8,-0.681732118237727
1,choice_only,projected,20,0.76,-0.48009954460580284
1,choice_only,partial,20,0.76,-0.48009954460580284
1,inference_affirm,standard,1,0.34,-0.6934761957344954
1,inference_affirm,projected,1,0.52,-0.6719510637283064
1,inference_affirm,partial,1,0.62,-0.6604220207281487
1,inference_affirm,standard,2,0.54,-0.6927623770545276
1,inference_affirm,projected,2,0.58,-0.6663341992887817
1,inference_affirm,partial,2,0.54,-0.6731156217363794
1,inference_affirm,standard,3,0.58,-0.6920392883779298
1,inference_affirm,projected,3,0.62,-0.6451791591546185
1,inference_affirm,partial,3,0.58,-0.6692066924908765
1,inference_affirm,standard,4,0.58,-0.6919639719411728
1,inference_affirm,projected,4,0.58,-0.6720321464561537
1,inference_affirm,partial,4,0.54,-0.7006991230508014
1,inference_affirm,standard,5,0.58,-0.6914296281913238
