persona_id,condition,n_trials,rating_partial_vs_standard,ll_standard,acc_standard,ll_projected,acc_projected,ll_partial,acc_partial
6,inference_categories,20,0.961925056590335,-0.6834268120584177,0.8,-0.4896902864516448,0.74,-0.5219578054891896,0.7
7,choice_only,20,0.9943343568170174,-0.6750711610351733,0.82,-0.4166885059924194,0.82,-0.4166885059924194,0.82
7,inference_affirm,20,0.9893818586813629,-0.6750711610351733,0.82,-0.4166885059924194,0.82,-0.44834534205869,0.78
7,inference_categories,20,0.9903185716839439,-0.6750711610351733,0.82,-0.4166885059924194,0.82,-0.44368029917367025,0.78
8,choice_only,20,0.95686520744626,-0.6808916657990917,0.76,-0.5259250353398305,0.74,-0.5259250353398305,0.74
8,inference_affirm,20,0.8989792563497886,-0.6808916657990917,0.76,-0.5259250353398305,0.74,-0.5715949617171538,0.74
8,inference_categories,20,0.9616953117891327,-0.6808916657990917,0.76,-0.5259250353398305,0.74,-0.5197353967742722,0.76
9,choice_only,20,0.978595327533718,-0.6834905021569179,0.7,-0.49236505383397355,0.74,-0.49236505383397355,0.74
9,inference_affirm,20,0.9401191554860557,-0.6834905021569179,0.7,-0.49236505383397355,0.74,-0.5458080038821852,0.68
9,inference_categories,20,0.9011008375733468,-0.6834905021569179,0.7,-0.49236505383397355,0.74,-0.5730146822049168,0.76
10,choice_only,20,0.6799899192228889,-0.6842542225692189,0.7,-0.6465679487861193,0.7,-0.6465679487861193,0.7
10,inference_affirm,20,0.8846708229018126,-0.6842542225692189,0.7,-0.6465679487861193,0.7,-0.5823829638055154,0.66
10,inference_categories,20,0.7743741575139268,-0.6842542225692189,0.7,-0.6465679487861193,0.7,-0.6225953675024111,0.66
11,choice_only,20,0.8797976576447522,-0.6832691422960202,0.68,-0.583743370422073,0.64,-0.583743370422073,0.64
11,inference_affirm,20,0.946827407563145,-0.6832691422960202,0.68,-0.583743370422073,0.64,-0.5392904552482004,0.72
11,inference_categories,20,0.9200766451865063,-0.6832691422960202,0.68,-0.583743370422073,0.64,-0.5610996989983584,0.72
12,choice_only,20,0.988548980144232,-0.6801139083224486,0.74,-0.4572059385751728,0.74,-0.4572059385751728,0.74
12,inference_affirm,20,0.9667596225366251,-0.6801139083224486,0.74,-0.4572059385751728,0.74,-0.5116046804070448,0.72
12,inference_categories,20,0.9780271476572763,-0.6801139083224486,0.74,-0.4572059385751728,0.74,-0.4903274222704803,0.72
13,choice_only,20,0.9194313656404133,-0.6835207497092612,0.72,-0.5617884508982824,0.74,-0.5617884508982824,0.74
13,inference_affirm,20,0.958053988726152,-0.6835207497092612,0.72,-0.5617884508982824,0.74,-0.5270947103833312,0.68
13,inference_categories,20,0.9693810376201916,-0.6835207497092612,0.72,-0.5617884508982824,0.74,-0.5107688367278562,0.74
14,choice_only,20,0.4678702811738604,-0.6888756791578946,0.58,-0.6953104897319569,0.54,-0.6953104897319569,0.54
14,inference_affirm,20,0.9464740080498346,-0.6888756791578946,0.58,-0.6953104897319569,0.54,-0.5452468720387124,0.76
14,inference_categories,20,0.7709385641738186,-0.6888756791578946,0.58,-0.6953104897319569,0.54,-0.6281947571181388,0.62
15,choice_only,20,0.9475441225662019,-0.6852893209521196,0.74,-0.5405942651111929,0.74,-0.5405942651111929,0.74
15,inference_affirm,20,0.8895707504447682,-0.6852893209521196,0.74,-0.5405942651111929,0.74,-0.5809711207954166,0.66
15,inference_categories,20,0.8791930145205473,-0.6852893209521196,0.74,-0.5405942651111929,0.74,-0.5860488035948909,0.66
16,choice_only,20,0.34588739457603207,-0.692150406514671,0.54,-0.7240087186795676,0.64,-0.7240087186795676,0.64
16,inference_affirm,20,0.0708718281494108,-0.692150406514671,0.54,-0.7240087186795676,0.64,-0.8208190909416255,0.42
16,inference_categories,20,0.2154895615148356,-0.692150406514671,0.54,-0.7240087186795676,0.64,-0.7567577769181015,0.56
