lambda,scale,alpha,test_ll,test_acc,n_obs
0.5,1.5,0.0,-0.6834225899842366,0.6682432432432432,148
0.5,1.5,0.25,-0.6839521422058635,0.6716216216216216,148
0.5,1.5,0.5,-0.6845487274904911,0.6625,148
0.5,1.5,0.75,-0.6851518621021653,0.6506756756756756,148
0.5,1.5,1.0,-0.685717119008675,0.6378378378378379,148
1.0,0.5,0.0,-0.6880384960696622,0.6699324324324325,148
1.0,0.5,0.25,-0.6882782991184077,0.675,148
1.0,0.5,0.5,-0.6885230328868284,0.6831081081081081,148
1.0,0.5,0.75,-0.6887712053414726,0.6722972972972973,148
1.0,0.5,1.0,-0.6890213108879525,0.6621621621621622,148
1.0,0.75,0.0,-0.6880384960696622,0.6699324324324325,148
1.0,0.75,0.25,-0.6882789055137112,0.6766891891891892,148
1.0,0.75,0.5,-0.688522746486827,0.6712837837837837,148
1.0,0.75,0.75,-0.6887673671894543,0.6628378378378378,148
1.0,0.75,1.0,-0.6890102034778198,0.6554054054054054,148
1.0,1.0,0.0,-0.6880384960696622,0.6699324324324325,148
1.0,1.0,0.25,-0.6882818853436162,0.6665540540540541,148
1.0,1.0,0.5,-0.6885310848578196,0.6766891891891892,148
1.0,1.0,0.75,-0.6887809548066767,0.6591216216216216,148
1.0,1.0,1.0,-0.6890266471929228,0.6587837837837838,148
1.0,1.25,0.0,-0.6880384960696622,0.6699324324324325,148
1.0,1.25,0.25,-0.6882872027534274,0.6682432432432432,148
1.0,1.25,0.5,-0.688547693643534,0.6777027027027027,148
1.0,1.25,0.75,-0.6888106605729782,0.6523648648648649,148
1.0,1.25,1.0,-0.6890675628802919,0.6408783783783784,148
1.0,1.5,0.0,-0.6880384960696622,0.6699324324324325,148
1.0,1.5,0.25,-0.6882948111711417,0.6716216216216216,148
1.0,1.5,0.5,-0.6885720729504873,0.6658783783783784,148
1.0,1.5,0.75,-0.6888546023191812,0.6489864864864865,148
1.0,1.5,1.0,-0.6891285537445114,0.6327702702702703,148
2.5,0.5,0.0,-0.6910397286692601,0.6716216216216216,148
2.5,0.5,0.25,-0.6911416910177134,0.675,148
2.5,0.5,0.5,-0.6912445227949249,0.6814189189189189,148
2.5,0.5,0.75,-0.6913479663251401,0.6739864864864865,148
2.5,0.5,1.0,-0.6914517624049216,0.6621621621621622,148
2.5,0.75,0.0,-0.6910397286692601,0.6716216216216216,148
2.5,0.75,0.25,-0.6911404843537668,0.6783783783783784,148
2.5,0.75,0.5,-0.6912418586095729,0.6695945945945946,148
2.5,0.75,0.75,-0.6913433981157487,0.6628378378378378,148
2.5,0.75,1.0,-0.6914446552551214,0.6503378378378378,148
2.5,1.0,0.0,-0.6910397286692601,0.6716216216216216,148
2.5,1.0,0.25,-0.6911396874142121,0.6665540540540541,148
2.5,1.0,0.5,-0.6912406927685378,0.6733108108108109,148
2.5,1.0,0.75,-0.691341882510578,0.6625,148
2.5,1.0,1.0,-0.6914424128985109,0.6587837837837838,148
2.5,1.25,0.0,-0.6910397286692601,0.6716216216216216,148
2.5,1.25,0.25,-0.6911392980917711,0.6682432432432432,148
2.5,1.25,0.5,-0.6912410030926621,0.6777027027027027,148
2.5,1.25,0.75,-0.6913433327432958,0.6506756756756756,148
2.5,1.25,1.0,-0.691444816576052,0.6391891891891891,148
2.5,1.5,0.0,-0.6910397286692601,0.6716216216216216,148
2.5,1.5,0.25,-0.6911393134732682,0.6699324324324325,148
2.5,1.5,0.5,-0.6912427554255925,0.6675675675675675,148
2.5,1.5,0.75,-0.6913476073930171,0.647635135135135,148
2.5,1.5,1.0,-0.6914514971953731,0.6293918918918919,148
5.0,0.5,0.0,-0.6920823526994223,0.6716216216216216,148
5.0,0.5,0.25,-0.6921344035228527,0.675,148
5.0,0.5,0.5,-0.6921866789080572,0.6814189189189189,148
5.0,0.5,0.75,-0.6922391128101,0.6739864864864865,148
5.0,0.5,1.0,-0.6922916389592707,0.6621621621621622,148
5.0,0.75,0.0,-0.6920823526994223,0.6716216216216216,148
5.0,0.75,0.25,-0.6921335365452339,0.6783783783783784,148
5.0,0.75,0.5,-0.6921848813121403,0.6695945945945946,148
5.0,0.75,0.75,-0.6922362712146105,0.6628378378378378,148
5.0,0.75,1.0,-0.6922875911811175,0.6503378378378378,148
5.0,1.0,0.0,-0.6920823526994223,0.6716216216216216,148
5.0,1.0,0.25,-0.6921327746734374,0.6665540540540541,148
5.0,1.0,0.5,-0.6921834689304914,0.6733108108108109,148
5.0,1.0,0.75,-0.6922342167954846,0.6608108108108108,148
5.0,1.0,1.0,-0.6922848019119674,0.6587837837837838,148
5.0,1.25,0.0,-0.6920823526994223,0.6716216216216216,148
5.0,1.25,0.25,-0.692132117729848,0.6682432432432432,148
5.0,1.25,0.5,-0.6921824396325965,0.6777027027027027,148
5.0,1.25,0.75,-0.6922329406596295,0.6506756756756756,148
5.0,1.25,1.0,-0.6922832477165733,0.6391891891891891,148
5.0,1.5,0.0,-0.6920823526994223,0.6716216216216216,148
5.0,1.5,0.25,-0.6921315654306337,0.6716216216216216,148
5.0,1.5,0.5,-0.6921817896663081,0.6675675675675675,148
5.0,1.5,0.75,-0.6922324261832972,0.647635135135135,148
5.0,1.5,1.0,-0.6922828825109634,0.6260135135135135,148
