lambda,scale,alpha,qualtrics_id,fold,n_test,test_acc,test_ll
0.05,0.5,0.25,R_5EychZPB1u00qZH,2,4,1.0,-0.5840373892270989
0.05,0.5,0.25,R_5EychZPB1u00qZH,3,4,0.75,-0.5520815346016277
0.05,0.5,0.25,R_5EychZPB1u00qZH,4,4,0.25,-0.7398916881332201
0.05,0.5,0.25,R_59glCvaBnt5WTU6,0,4,0.5,-0.7102494880481203
0.05,0.5,0.25,R_59glCvaBnt5WTU6,1,4,0.75,-0.600087019124433
0.05,0.5,0.25,R_59glCvaBnt5WTU6,2,4,1.0,-0.5948778639647321
0.05,0.5,0.25,R_59glCvaBnt5WTU6,3,4,0.75,-0.6212437386055154
0.05,0.5,0.25,R_59glCvaBnt5WTU6,4,4,0.75,-0.655517433994412
0.05,0.5,0.25,R_1nBL27EvLs0Bkk4,0,4,0.5,-0.6295527129585455
0.05,0.5,0.25,R_1nBL27EvLs0Bkk4,1,4,0.75,-0.768960807691083
0.05,0.5,0.25,R_1nBL27EvLs0Bkk4,2,4,0.75,-0.5961169617075551
0.05,0.5,0.25,R_1nBL27EvLs0Bkk4,3,4,0.75,-0.6498510151171826
0.05,0.5,0.25,R_1nBL27EvLs0Bkk4,4,4,1.0,-0.5652951892453508
0.05,0.5,0.25,R_6FsUQnzEYAQwtwa,0,4,1.0,-0.6574103274540881
0.05,0.5,0.25,R_6FsUQnzEYAQwtwa,1,4,0.5,-0.6857891715909523
0.05,0.5,0.25,R_6FsUQnzEYAQwtwa,2,4,0.75,-0.6701653577875736
0.05,0.5,0.25,R_6FsUQnzEYAQwtwa,3,4,0.75,-0.6997066935742658
0.05,0.5,0.25,R_6FsUQnzEYAQwtwa,4,4,0.5,-0.6552540029970193
0.05,0.5,0.25,R_5pX1jjp1Yu1RSN7,0,4,1.0,-0.5707086545245541
0.05,0.5,0.25,R_5pX1jjp1Yu1RSN7,1,4,0.5,-0.576319092433375
0.05,0.5,0.25,R_5pX1jjp1Yu1RSN7,2,4,0.75,-0.5737652627603067
0.05,0.5,0.25,R_5pX1jjp1Yu1RSN7,3,4,0.75,-0.613662845605016
0.05,0.5,0.25,R_5pX1jjp1Yu1RSN7,4,4,0.25,-0.8566188627430283
0.05,0.5,0.25,R_5DY1mtPtJpWz8WC,0,5,1.0,-0.4401707034505759
0.05,0.5,0.25,R_5DY1mtPtJpWz8WC,1,5,0.8,-0.5451396810178708
0.05,0.5,0.25,R_5DY1mtPtJpWz8WC,2,5,0.8,-0.5871392120852018
0.05,0.5,0.25,R_5DY1mtPtJpWz8WC,3,5,0.6,-0.49832794532167063
0.05,0.5,0.25,R_1PN3SGDWOMibPAh,0,4,1.0,-0.5853004405421631
0.05,0.5,0.25,R_1PN3SGDWOMibPAh,1,4,0.5,-0.7515797650907186
0.05,0.5,0.25,R_1PN3SGDWOMibPAh,2,4,0.75,-0.6569070057304511
0.05,0.5,0.25,R_1PN3SGDWOMibPAh,3,4,0.5,-0.6429568490098544
0.05,0.5,0.25,R_1PN3SGDWOMibPAh,4,4,1.0,-0.6074057539920724
0.05,0.5,0.25,R_3SrBXsc2uYrsSZz,0,4,0.75,-0.6299092359915011
0.05,0.5,0.25,R_3SrBXsc2uYrsSZz,1,4,0.5,-0.7037789430969099
0.05,0.5,0.25,R_3SrBXsc2uYrsSZz,2,4,0.5,-0.7355386345619924
0.05,0.5,0.25,R_3SrBXsc2uYrsSZz,3,4,0.75,-0.5854856741741904
0.05,0.5,0.25,R_3SrBXsc2uYrsSZz,4,4,1.0,-0.5863080376949652
0.05,0.5,0.25,R_7rNeEq8TvAxjqdL,0,4,0.75,-0.549151416546596
0.05,0.5,0.25,R_7rNeEq8TvAxjqdL,1,4,0.75,-0.5717205457785546
0.05,0.5,0.25,R_7rNeEq8TvAxjqdL,2,4,1.0,-0.5221692037081478
0.05,0.5,0.25,R_7rNeEq8TvAxjqdL,3,4,0.5,-0.6777074405650325
