user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
9,choice_only,20,0.9798882360547752,0.45,-0.6953008968985127,-0.49959672366232943,0.0,1.0,-0.7497983618311648,0.75,-0.6879042219171986,0.45485671855824034,0.3,1.0,0.027428359279120157,0.75,-0.6879042219171986,0.45485671855824034,0.3,1.0,0.027428359279120157
9,inference_affirm,20,0.9635359723970263,0.5,-0.6946437118569494,-0.3057233682112762,0.1,1.0,-0.5528616841056382,0.6,-0.6711768643124986,0.4697700535929367,0.3,1.0,0.03488502679646835,0.55,-0.7031564572019341,0.6039900689052043,0.3,1.0,0.10199503445260216
9,inference_categories,20,0.9935801314417286,0.4,-0.6962100306411267,-0.6934700791133827,0.0,1.0,-0.8467350395566913,0.5,-0.7383891042740726,0.7232967491827754,0.3,1.0,0.1616483745913877,0.5,-0.6983082042478335,0.7232967491827754,0.3,1.0,0.1616483745913877
10,choice_only,20,0.641958373522821,0.75,-0.6863795937771201,0.31139957766460924,0.2,1.0,-0.14430021116769537,0.7,-0.5856168298138015,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.7,-0.5856168298138015,0.5449492609130662,0.2,1.0,-0.027525369543466904
10,inference_affirm,20,0.4242439839928166,0.55,-0.6934405553323743,0.3892494720807615,0.2,1.0,-0.10537526395961924,0.6,-0.7082679627640831,0.31139957766460924,0.2,1.0,-0.14430021116769537,0.75,-0.6836970953144369,0.4670993664969138,0.1,1.0,-0.16645031675154312
10,inference_categories,20,0.7472264408667519,0.75,-0.6864315219338053,0.31139957766460924,0.1,1.0,-0.2443002111676954,0.65,-0.7189911501017301,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.7,-0.6887840244747622,0.5449492609130662,0.2,1.0,-0.027525369543466904
11,choice_only,20,0.5485031771161134,0.8,-0.6842320768908077,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.7,-0.5773233786020655,0.6227991553292185,0.2,1.0,0.01139957766460925,0.7,-0.5773233786020655,0.6227991553292185,0.2,1.0,0.01139957766460925
11,inference_affirm,20,0.5,0.45,-0.6946659346187434,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.8,-0.5473537763371253,0.6227991553292185,0.2,1.0,0.01139957766460925,0.7,-0.6569054775284958,0.5449492609130662,0.2,1.0,-0.027525369543466904
11,inference_categories,20,0.42424398399281665,0.55,-0.6930035817168054,0.4670993664969138,0.2,1.0,-0.06645031675154309,0.85,-0.4749422270381026,0.7006490497453708,0.2,1.0,0.050324524872685406,0.8,-0.605628743806619,0.5449492609130662,0.1,1.0,-0.12752536954346694
12,choice_only,20,0.6240208554652033,0.45,-0.6931188958381411,-0.11185001276022302,0.3,1.0,-0.2559250063801115,0.65,-0.6375873981281288,0.29081003317657983,0.2,1.0,-0.15459498341171007,0.65,-0.6375873981281288,0.29081003317657983,0.2,1.0,-0.15459498341171007
12,inference_affirm,20,0.43512199114718836,0.75,-0.6905065781476329,0.09693667772552661,0.3,1.0,-0.1515316611372367,0.75,-0.4695311846210489,-0.08202334269083021,0.2,1.0,-0.3410116713454151,0.75,-0.5920251423247324,-0.007456667517348202,0.3,1.0,-0.2037283337586741
