user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
52,inference_affirm,20,0.41485807042247397,0.6,-0.6778898886607244,0.10630191791172282,0.4,1.0,-0.04684904104413857,0.4,-1.1048208373210227,-0.31890575373516844,0.1,1.0,-0.5594528768675843,0.25,-0.7037040376116234,-0.03126526997403612,0.4,1.0,-0.11563263498701803
52,inference_categories,20,0.9274141926398397,0.6,-0.6397511069551773,0.08754275592730112,0.3,1.0,-0.15622862203634946,0.4,-0.8913326159303917,-0.27513437577151784,0.2,1.0,-0.4375671878857589,0.45,-0.7003051952920305,0.7065951014132162,0.5,1.0,0.3532975507066081
53,choice_only,20,0.8363859113818036,0.55,-0.718272024585551,-0.36187803325942697,0.1,1.0,-0.5809390166297135,0.2,-1.3277208482221445,-0.10924619871982703,0.3,1.0,-0.2546230993599135,0.2,-1.3277208482221445,-0.10924619871982703,0.3,1.0,-0.2546230993599135
53,inference_affirm,20,0.7833348284211833,0.35,-0.7293568849440515,0.1229019735598054,0.2,1.0,-0.2385490132200973,0.45,-0.9250718562262877,0.37553380809940534,0.4,1.0,0.0877669040497027,0.7,-0.6868464492189086,0.43698479487930814,0.3,1.0,0.018492397439654057
53,inference_categories,20,0.8048341685668903,0.7,-0.6519052309042719,0.07510676161988107,0.3,1.0,-0.16244661919005948,0.45,-0.8193790078851679,0.40967324519935133,0.3,1.0,0.004836622599675655,0.6,-0.6908164788656345,0.6418214174789838,0.3,1.0,0.12091070873949189
54,choice_only,20,0.48519181589358795,0.35,-0.709496593181725,0.42503004848884746,0.2,1.0,-0.08748497575557626,0.65,-0.7288593224405747,0.20133002296840144,0.3,1.0,-0.09933498851579929,0.65,-0.7288593224405747,0.20133002296840144,0.3,1.0,-0.09933498851579929
54,inference_affirm,20,0.65335439171755,0.35,-0.7314141618550811,0.20133002296840144,0.2,1.0,-0.19933498851579928,0.65,-0.6344274903848726,0.39520337841945463,0.2,1.0,-0.10239831079027267,0.65,-0.6920071018020632,0.45485671855824034,0.2,1.0,-0.07257164072087982
54,inference_categories,20,0.9197336438600432,0.35,-0.7118242909646725,0.022370002552044604,0.2,1.0,-0.2888149987239777,0.3,-1.2912566073637324,0.23115669303779424,0.3,1.0,-0.08442165348110289,0.45,-0.6972562913000409,0.7978634243562575,0.3,1.0,0.19893171217812872
55,choice_only,20,0.7654488564587286,0.65,-0.6830244691980094,0.17069718549972973,0.2,1.0,-0.21465140725013512,0.55,-0.7747555438779645,0.4438126822992972,0.3,1.0,0.021906341149648595,0.55,-0.7747555438779645,0.4438126822992972,0.3,1.0,0.021906341149648595
55,inference_affirm,20,0.3012411946425496,0.55,-0.7146478365173521,0.38918958293938377,0.3,1.0,-0.005405208530308125,0.6,-1.046394558056669,0.49843578165921076,0.3,1.0,0.04921789082960537,0.6,-0.6946387752857278,0.2526318345396,0.2,1.0,-0.1736840827302
55,inference_categories,20,0.5915932352813463,0.3,-0.7155360596687161,0.02731154967995676,0.3,1.0,-0.18634422516002164,0.6,-0.695419223003574,-0.2526318345396,0.1,1.0,-0.5263159172698,0.65,-0.6667303384520619,0.37553380809940534,0.2,1.0,-0.11223309595029732
56,choice_only,20,0.8293812681040031,0.55,-0.6778777641552547,0.03459995307384547,0.1,1.0,-0.3827000234630773,0.55,-0.8512206532385216,0.4670993664969138,0.2,1.0,-0.06645031675154309,0.55,-0.8512206532385216,0.4670993664969138,0.2,1.0,-0.06645031675154309
56,inference_affirm,20,0.616743645685957,0.6,-0.7045082132346258,0.2248996949799955,0.1,1.0,-0.28755015251000227,0.6,-0.8987872811152933,0.18164975363768868,0.1,1.0,-0.3091751231811557,0.65,-0.6836469924992852,0.41519943688614563,0.1,1.0,-0.1924002815569272
56,inference_categories,20,0.8034895814608383,0.55,-0.7033419998199377,0.14704980056384323,0.1,1.0,-0.3264750997180784,0.25,-1.2878116973347764,0.35464951900691605,0.1,1.0,-0.222675240496542,0.55,-0.6951928389160458,0.5103493078392206,0.2,1.0,-0.04482534608038968
57,choice_only,20,0.48237734843014884,0.2,-0.7314599360698825,0.10430233025377429,0.5,1.0,0.052151165126887146,0.65,-0.6084452248378613,0.27609440361293197,0.4,1.0,0.03804720180646601,0.65,-0.6084452248378613,0.27609440361293197,0.4,1.0,0.03804720180646601
57,inference_affirm,20,0.9923254465001808,0.5,-0.6993389667730123,-0.23928181646454103,0.2,1.0,-0.4196409082322705,0.85,-0.4795763375197727,0.4724282017376836,0.4,1.0,0.1362141008688418,0.75,-0.663366190444532,0.7055745870108261,0.7,1.0,0.552787293505413
57,inference_categories,20,0.9730393625219234,0.15,-0.7334670545697002,0.05521888072258639,0.3,1.0,-0.1723905596387068,0.7,-0.5709177527782077,0.11657319263657127,0.4,1.0,-0.04171340368171434,0.8,-0.6389013595762754,0.8896375227527807,0.6,1.0,0.5448187613763904
58,choice_only,20,0.8616156074445318,0.6,-0.6718160025157096,0.0,0.3,1.0,-0.2,0.45,-0.7663618464675162,0.531509589558614,0.4,1.0,0.16575479477930705,0.45,-0.7663618464675162,0.531509589558614,0.4,1.0,0.16575479477930705
58,inference_affirm,20,0.5506319249175776,0.6,-0.6989654309012072,-0.16883245785979503,0.4,1.0,-0.1844162289298975,0.5,-1.0387181384954993,-0.31890575373516844,0.4,1.0,-0.2594528768675842,0.7,-0.6743712358431938,-0.08754275592730112,0.4,1.0,-0.14377137796365053
58,inference_categories,20,0.9553517079531991,0.5,-0.7021640817675154,-0.05627748595326502,0.3,1.0,-0.22813874297663253,0.75,-0.6017366060082481,0.2938935377559395,0.5,1.0,0.14694676887796976,0.75,-0.654921866456141,0.5690279135274574,0.6,1.0,0.3845139567637287
59,choice_only,20,0.28113582416745103,0.6,-0.6967281280065669,0.648649304898973,0.3,1.0,0.12432465244948648,0.55,-0.6976238885297729,0.2731154967995676,0.3,1.0,-0.06344225160021622,0.55,-0.6976238885297729,0.2731154967995676,0.3,1.0,-0.06344225160021622
59,inference_affirm,20,0.7094271567290786,0.4,-0.7140233248341181,0.14338563581977296,0.3,1.0,-0.12830718209011355,0.35,-1.1053301342885504,0.21849239743965407,0.3,1.0,-0.09075380128017298,0.5,-0.6942509500250676,0.3004270464795243,0.4,1.0,0.050213523239762164
