persona_id,condition,trial,accuracy,log_likelihood
1,projected,45,0.6,-0.6929100925941369
1,slider,45,0.68,-0.6927426215744467
1,partial,45,0.64,-0.6924660661129163
1,standard,46,0.62,-0.6920966304847974
1,projected,46,0.64,-0.6928791055262843
1,slider,46,0.68,-0.6927075450088462
1,partial,46,0.62,-0.6924011801966568
1,standard,47,0.62,-0.6920564536483872
1,projected,47,0.64,-0.6928500872897285
1,slider,47,0.68,-0.692670709576649
1,partial,47,0.66,-0.6923626842530767
1,standard,48,0.62,-0.6920731797117995
1,projected,48,0.62,-0.6928384278576254
1,slider,48,0.72,-0.6926553230900607
1,partial,48,0.66,-0.6923633601477586
1,standard,49,0.64,-0.6920575321084502
1,projected,49,0.66,-0.6928334471259256
1,slider,49,0.7,-0.6926447801483115
1,partial,49,0.7,-0.6923502577933511
1,standard,50,0.64,-0.692049067614061
1,projected,50,0.64,-0.6928324656958202
1,slider,50,0.68,-0.6926412086015126
1,partial,50,0.66,-0.6923442537838832
3,standard,0,0.36,-0.6931471803599452
3,projected,0,0.36,-0.6931471803599452
3,slider,0,0.36,-0.6931471803599452
3,partial,0,0.36,-0.6931471803599452
3,standard,1,0.56,-0.6931355183409492
3,projected,1,0.6,-0.6931314618660761
3,slider,1,0.6,-0.6931300925563619
3,partial,1,0.54,-0.6931328026293712
3,standard,2,0.6,-0.6930531663415458
3,projected,2,0.6,-0.693107608053506
3,slider,2,0.58,-0.6931025734833328
3,partial,2,0.64,-0.6930778589097948
3,standard,3,0.58,-0.692963012231236
3,projected,3,0.52,-0.6931039876549664
3,slider,3,0.52,-0.6930965924730583
3,partial,3,0.62,-0.6930297718143023
3,standard,4,0.62,-0.6929849954451315
3,projected,4,0.64,-0.6931194556477552
3,slider,4,0.56,-0.6931046289414247
3,partial,4,0.6,-0.6930447838028242
3,standard,5,0.62,-0.6929630225367311
3,projected,5,0.54,-0.6931129653836244
3,slider,5,0.52,-0.6930957490253203
3,partial,5,0.6,-0.6930293498302585
3,standard,6,0.64,-0.6929486431655698
3,projected,6,0.58,-0.6931088473829871
3,slider,6,0.56,-0.6930738569950705
3,partial,6,0.64,-0.6930112142149771
3,standard,7,0.62,-0.6929314443143489
3,projected,7,0.62,-0.6930920113427996
3,slider,7,0.66,-0.6930589179822667
3,partial,7,0.66,-0.6929951456458372
3,standard,8,0.54,-0.692984405529105
3,projected,8,0.7,-0.6930456383457524
3,slider,8,0.66,-0.6930312120835193
3,partial,8,0.56,-0.693007765475339
3,standard,9,0.6,-0.692972671279304
3,projected,9,0.62,-0.6930666691829291
3,slider,9,0.7,-0.6930291876334185
3,partial,9,0.62,-0.6930008888796051
3,standard,10,0.64,-0.6929072695324417
3,projected,10,0.64,-0.6930440285229174
3,slider,10,0.66,-0.6930065145430742
3,partial,10,0.62,-0.6929568102893323
3,standard,11,0.58,-0.6928858949266374
3,projected,11,0.6,-0.6930280950852185
3,slider,11,0.64,-0.6929884889988074
3,partial,11,0.58,-0.69293710665649
3,standard,12,0.6,-0.6928733452387529
3,projected,12,0.6,-0.6930289085243514
3,slider,12,0.64,-0.6929920052258451
3,partial,12,0.62,-0.6929325802945072
3,standard,13,0.54,-0.6929605545753684
3,projected,13,0.64,-0.6930369834348414
3,slider,13,0.68,-0.6929982012710191
3,partial,13,0.62,-0.6929792910720196
3,standard,14,0.6,-0.6929400630862603
3,projected,14,0.62,-0.6930257643946347
3,slider,14,0.66,-0.6929882691635102
3,partial,14,0.66,-0.6929640799603644
3,standard,15,0.64,-0.6928986358818082
3,projected,15,0.58,-0.6930201241396236
3,slider,15,0.64,-0.6929826142310553
3,partial,15,0.62,-0.692940529927472
3,standard,16,0.62,-0.6928329328845486
3,projected,16,0.6,-0.6930279659863436
3,slider,16,0.68,-0.6929875102825658
3,partial,16,0.64,-0.6929100925760462
3,standard,17,0.58,-0.6927625535805734
3,projected,17,0.64,-0.692997375279572
3,slider,17,0.68,-0.6929517993181566
3,partial,17,0.66,-0.6928570166678206
3,standard,18,0.66,-0.6926951060580171
3,projected,18,0.64,-0.6930035465468523
3,slider,18,0.66,-0.6929560619419245
3,partial,18,0.68,-0.6928254267246942
3,standard,19,0.68,-0.6926332501040835
3,projected,19,0.68,-0.692947041768262
3,slider,19,0.7,-0.6928835242742576
3,partial,19,0.66,-0.6927582120792267
3,standard,20,0.6,-0.6926235930484559
3,projected,20,0.7,-0.692943124955698
3,slider,20,0.72,-0.6928779918110023
3,partial,20,0.66,-0.6927506060801636
3,standard,21,0.58,-0.6925928333263961
3,projected,21,0.68,-0.6929176418409362
3,slider,21,0.68,-0.6928512902661923
3,partial,21,0.64,-0.6927218788588381
3,standard,22,0.6,-0.6925736000530874
3,projected,22,0.68,-0.6929218473527395
3,slider,22,0.68,-0.6928504287539292
3,partial,22,0.68,-0.6927118266762933
3,standard,23,0.62,-0.6924680527599102
3,projected,23,0.66,-0.6929021296272198
3,slider,23,0.72,-0.6928283061851466
3,partial,23,0.72,-0.6926478652313522
3,standard,24,0.64,-0.6925040877263485
3,projected,24,0.68,-0.6929076477835027
3,slider,24,0.72,-0.6928344148435802
3,partial,24,0.7,-0.6926689314420712
3,standard,25,0.52,-0.6926826525190125
3,projected,25,0.58,-0.6929904544351269
3,slider,25,0.64,-0.6928985035892998
3,partial,25,0.72,-0.6927902216221917
3,standard,26,0.5,-0.692718495453038
3,projected,26,0.56,-0.6929988753296084
3,slider,26,0.66,-0.6929059261604488
3,partial,26,0.62,-0.6928118505936088
3,standard,27,0.52,-0.692777551629563
3,projected,27,0.54,-0.6930247838749536
3,slider,27,0.64,-0.6929340383741227
3,partial,27,0.62,-0.6928554350142258
3,standard,28,0.54,-0.6926914653929812
3,projected,28,0.62,-0.6929577005685674
3,slider,28,0.7,-0.6928653106594659
3,partial,28,0.66,-0.6927780630397551
3,standard,29,0.6,-0.6926922406656968
3,projected,29,0.6,-0.6929511075916952
3,slider,29,0.7,-0.6928496695758832
3,partial,29,0.7,-0.6927706330118473
3,standard,30,0.58,-0.6926805830460977
