user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial
5,choice_only,20,0.3707427101660639,0.745,-0.6807976689498705,0.4122529867854531,0.5,0.5,0.20612649339272654,0.765,-0.5071349859860437,0.40064022659431353,0.4,0.4,0.10032011329715679,0.765,-0.5071349859860437,0.40064022659431353,0.4,0.4,0.10032011329715679
5,inference_affirm,20,0.5414380217239819,0.77,-0.678910254467751,0.4022991923359049,0.5,0.4,0.20114959616795244,0.73,-0.49519944464111676,0.37492625759964743,0.5,0.4,0.18746312879982371,0.66,-0.5882902134867589,0.26875245013780036,0.6,0.5,0.23437622506890016
5,inference_categories,20,0.6296857783047729,0.77,-0.6816274117532984,0.5300395544384396,0.6,0.4,0.3650197772192198,0.795,-0.4703443319899732,0.5715136979782236,0.6,0.4,0.3857568489891118,0.795,-0.503720925259904,0.7423871693621337,0.6,0.5,0.4711935846810668
6,choice_only,20,0.6655327666148406,0.635,-0.685333698045377,0.49960660619336533,0.5,0.5,0.24980330309668267,0.795,-0.45045592490756475,0.5748261881667158,0.6,0.6,0.3874130940833579,0.795,-0.45045592490756475,0.5748261881667158,0.6,0.6,0.3874130940833579
6,inference_affirm,20,0.6051983896644421,0.645,-0.6862438871421018,0.43181611873590126,0.4,0.5,0.11590805936795065,0.775,-0.49695186287723403,0.44760294458216,0.4,0.5,0.12380147229108002,0.755,-0.5290498065083372,0.6026852926012901,0.4,0.5,0.20134264630064508
6,inference_categories,20,0.5765854287209837,0.675,-0.6862871280088955,0.47639068583122013,0.4,0.4,0.1381953429156101,0.775,-0.4957067255567428,0.5562534518769997,0.4,0.5,0.17812672593849987,0.71,-0.5319164794019917,0.5998993821578327,0.4,0.5,0.19994969107891636
7,choice_only,20,0.5361195924500569,0.71,-0.6848368602688322,0.4370452797564684,0.7,0.6,0.4185226398782341,0.745,-0.5382831035759046,0.494937471664508,0.7,0.5,0.447468735832254,0.745,-0.5382831035759046,0.494937471664508,0.7,0.5,0.447468735832254
7,inference_affirm,20,0.6241345182347591,0.655,-0.6862900837590615,0.5324450889570408,0.7,0.6,0.46622254447852035,0.705,-0.5241079110836023,0.6282525896499233,0.8,0.7,0.6141262948249617,0.715,-0.5235361744194497,0.5352989294032118,0.8,0.6,0.5676494647016059
7,inference_categories,20,0.7395877213594191,0.65,-0.6856480260468252,0.6041987916036251,0.5,0.4,0.30209939580181255,0.745,-0.480322011794678,0.5426373762647942,0.5,0.4,0.2713186881323971,0.73,-0.5290883925718572,0.6217295257729611,0.7,0.6,0.5108647628864805
8,choice_only,20,0.6295180768863854,0.525,-0.6918609436478417,0.2942631831265375,0.4,0.3,0.047131591563268765,0.665,-0.6464891255190817,0.30632314964811685,0.5,0.5,0.15316157482405843,0.665,-0.6464891255190817,0.30632314964811685,0.5,0.5,0.15316157482405843
8,inference_affirm,20,0.603023441738152,0.52,-0.692160472662664,0.23637534382295633,0.5,0.4,0.11818767191147816,0.625,-0.6591306084735838,0.3746629599370668,0.5,0.4,0.1873314799685334,0.61,-0.6624631147471957,0.4036068795888574,0.5,0.5,0.2018034397944287
8,inference_categories,20,0.5465967647622915,0.51,-0.6924232712399803,0.41968683495096326,0.7,0.7,0.4098434174754816,0.625,-0.6049869299183905,0.4832026586312814,0.8,0.7,0.5416013293156408,0.64,-0.6301515010783824,0.49445862738475554,0.7,0.7,0.44722931369237773
9,choice_only,20,0.6608040025409632,0.56,-0.6902620397276962,0.19071905759796762,0.1,0.3,-0.3046404712010162,0.585,-0.695631587880446,0.25747072775725627,0.2,0.5,-0.17126463612137185,0.585,-0.695631587880446,0.25747072775725627,0.2,0.5,-0.17126463612137185
9,inference_affirm,20,0.6459092095990913,0.7,-0.6862547406599719,0.22613831115187585,0.1,0.6,-0.2869308444240621,0.645,-0.6753024100689881,0.33171493232217936,0.2,0.6,-0.1341425338389103,0.68,-0.6479637301566851,0.46658055162359935,0.1,0.4,-0.16670972418820035
9,inference_categories,20,0.6609468843310604,0.565,-0.6906706337922313,0.22954400860898247,0.2,0.5,-0.18522799569550874,0.65,-0.6633211909169687,0.24521021691167263,0.2,0.5,-0.17739489154416366,0.675,-0.6377788403754961,0.49655068924613716,0.2,0.4,-0.05172465537693141
10,choice_only,20,0.4862414271475431,0.645,-0.6846835156258834,0.39973453626126315,0.5,0.5,0.19986726813063158,0.705,-0.5163021462142606,0.377715260958736,0.5,0.5,0.188857630479368,0.705,-0.5163021462142606,0.377715260958736,0.5,0.5,0.188857630479368
10,inference_affirm,20,0.8149846171514483,0.67,-0.6857011128452651,0.41709588794210195,0.4,0.4,0.108547943971051,0.715,-0.559978008066475,0.5047495415502391,0.4,0.4,0.15237477077511957,0.7,-0.5560454978795971,0.6101879944411868,0.6,0.6,0.40509399722059336
10,inference_categories,20,0.7656425455475113,0.64,-0.6851762867128534,0.4374213728367425,0.5,0.5,0.21871068641837124,0.73,-0.5219987956505713,0.5081371223660126,0.6,0.6,0.3540685611830063,0.775,-0.49866718251860165,0.7109685237104458,0.6,0.6,0.4554842618552229
11,choice_only,20,0.509848835017314,0.67,-0.6853417770633325,0.3649724631500993,0.3,0.3,-0.017513768424950366,0.72,-0.547992779031281,0.3807326376952172,0.3,0.4,-0.00963368115239141,0.72,-0.547992779031281,0.3807326376952172,0.3,0.4,-0.00963368115239141
