lambda,scale,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,delta_ll,delta_acc
0.05,0.5,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,0,4,1.0,-0.6920433577900249,1.0,-0.6005782746549366,0.09146508313508828,0.0
0.05,0.5,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,1,4,1.0,-0.6919164570325738,1.0,-0.5119688654609952,0.17994759157157858,0.0
0.05,0.5,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,2,4,0.75,-0.6928577825296892,0.75,-0.608094596295935,0.08476318623375423,0.0
0.05,0.5,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,3,4,0.25,-0.6932254130917721,0.5,-0.6900107529175236,0.0032146601742485403,0.25
0.05,0.5,0.0,R_1P81VK8fH860C4V,inference_categories,dailydilemmas,4,4,1.0,-0.6913179800919581,1.0,-0.5171676872617494,0.17415029283020866,0.0
0.05,0.5,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,0,4,0.5,-0.6920457681275483,0.5,-0.6176035194888476,0.07444224863870064,0.0
0.05,0.5,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,1,4,0.75,-0.6918687893093179,0.75,-0.5960951237386816,0.09577366557063638,0.0
0.05,0.5,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,2,4,0.75,-0.6916919699910548,1.0,-0.5732337870291042,0.11845818296195054,0.25
0.05,0.5,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,3,4,0.75,-0.6921476975615788,0.75,-0.6162043102636463,0.07594338729793249,0.0
0.05,0.5,0.0,R_7go085j249AymBb,inference_categories,dailydilemmas,4,4,0.5,-0.6933859969559947,0.5,-0.719553161782158,-0.026167164826163325,0.0
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,0,4,0.25,-0.6927821561848767,0.25,-0.6742070734933625,0.0185750826915142,0.0
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,1,4,0.75,-0.6925641341245401,0.75,-0.6500098148593783,0.042554319265161844,0.0
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,2,4,0.75,-0.6928042560852457,0.75,-0.6496319335413983,0.0431723225438474,0.0
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,3,4,1.0,-0.6921312027011314,1.0,-0.5899109056918826,0.10222029700924873,0.0
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,inference_categories,dailydilemmas,4,4,0.75,-0.6925934243944709,0.75,-0.6611469574171885,0.03144646697728237,0.0
0.05,0.5,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,0,4,1.0,-0.6915691978027982,0.75,-0.5482860343988791,0.1432831634039191,-0.25
0.05,0.5,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,1,4,0.5,-0.6922579912654148,0.5,-0.6309899711172118,0.061268020148202984,0.0
0.05,0.5,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,2,4,1.0,-0.6920351292436367,1.0,-0.5851019275954009,0.10693320164823583,0.0
0.05,0.5,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,3,4,1.0,-0.6918581079995139,0.75,-0.5561750385730906,0.13568306942642328,-0.25
0.05,0.5,0.0,R_5EychZPB1u00qZH,inference_categories,dailydilemmas,4,4,0.25,-0.693113923592781,0.25,-0.7399822788214153,-0.046868355228634306,0.0
0.05,0.5,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,0,4,0.5,-0.6934585289871318,0.5,-0.7070219997609573,-0.01356347077382547,0.0
0.05,0.5,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,1,4,0.75,-0.6924249223884483,0.75,-0.6051769211898534,0.08724800119859488,0.0
0.05,0.5,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,2,4,0.75,-0.6921256744126439,1.0,-0.5902588722280027,0.10186680218464128,0.25
0.05,0.5,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,3,4,0.75,-0.6923140677501498,0.75,-0.6191468996896113,0.07316716806053847,0.0
0.05,0.5,0.0,R_59glCvaBnt5WTU6,inference_categories,dailydilemmas,4,4,0.75,-0.6924660984930848,0.75,-0.6451654448447497,0.047300653648335134,0.0
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,0,4,0.5,-0.6925040934732599,0.5,-0.6309453004741521,0.061558792999107825,0.0
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,1,4,0.25,-0.693942222109138,0.75,-0.7713280460186053,-0.07738582390946724,0.5
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,2,4,0.75,-0.6912821629528922,0.75,-0.592761594207065,0.09852056874582726,0.0
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,3,4,0.5,-0.6924616239598635,0.75,-0.6508958385302908,0.04156578542957279,0.25
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,inference_categories,dailydilemmas,4,4,1.0,-0.6911718043804796,1.0,-0.5512031827562329,0.13996862162424673,0.0
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,0,4,0.75,-0.6927384253042169,0.75,-0.6535455216392652,0.03919290366495176,0.0
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,1,4,0.5,-0.6927163458859349,0.5,-0.6841708704777055,0.008545475408229364,0.0
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,2,4,0.5,-0.6932754640605925,0.75,-0.6724223151283867,0.0208531489322058,0.25
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,3,4,0.75,-0.6926125292192916,0.75,-0.6825985059395243,0.010014023279767303,0.0
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,inference_categories,dailydilemmas,4,4,0.75,-0.6926171705827615,0.5,-0.6449229317605538,0.04769423882220769,-0.25
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,0,4,1.0,-0.6916563926178843,1.0,-0.5747516096659644,0.11690478295191986,0.0
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,1,4,0.75,-0.6913416045752215,0.75,-0.5732120455271079,0.11812955904811362,0.0
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,2,4,0.75,-0.6917451406050665,0.75,-0.575120000868835,0.11662513973623156,0.0
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,inference_categories,dailydilemmas,3,4,0.75,-0.6915415809271314,0.75,-0.6076928826972148,0.08384869822991659,0.0
