persona_id,condition,fit_type,n_trials,test_acc,test_ll
3,choice_only,standard,4,0.7,-0.6929658787555181
3,choice_only,projected,4,0.64,-0.6701556423873479
3,choice_only,partial,4,0.64,-0.6701556423873479
3,choice_only,standard,5,0.7,-0.6928922869792234
3,choice_only,projected,5,0.64,-0.6607858476998654
3,choice_only,partial,5,0.64,-0.6607858476998654
3,choice_only,standard,6,0.66,-0.6928795179357818
3,choice_only,projected,6,0.7,-0.6580077575314641
3,choice_only,partial,6,0.7,-0.6580077575314641
3,choice_only,standard,7,0.64,-0.6930299013269514
3,choice_only,projected,7,0.6,-0.6723966144995722
3,choice_only,partial,7,0.6,-0.6723966144995722
3,choice_only,standard,8,0.66,-0.6930255055430934
3,choice_only,projected,8,0.6,-0.6708202253009258
3,choice_only,partial,8,0.6,-0.6708202253009258
3,choice_only,standard,9,0.62,-0.6927731875802188
3,choice_only,projected,9,0.72,-0.6512750906006238
3,choice_only,partial,9,0.72,-0.6512750906006238
3,choice_only,standard,10,0.64,-0.6928713534203133
3,choice_only,projected,10,0.62,-0.6607673166131508
3,choice_only,partial,10,0.62,-0.6607673166131508
3,choice_only,standard,11,0.66,-0.6928418360100973
3,choice_only,projected,11,0.64,-0.6595200702607843
3,choice_only,partial,11,0.64,-0.6595200702607843
3,choice_only,standard,12,0.68,-0.6927629917516391
3,choice_only,projected,12,0.68,-0.6540061879027101
3,choice_only,partial,12,0.68,-0.6540061879027101
3,choice_only,standard,13,0.68,-0.6928356777457517
3,choice_only,projected,13,0.7,-0.6598885991876006
3,choice_only,partial,13,0.7,-0.6598885991876006
3,choice_only,standard,14,0.64,-0.6926983395808464
3,choice_only,projected,14,0.62,-0.6516139675347854
3,choice_only,partial,14,0.62,-0.6516139675347854
3,choice_only,standard,15,0.66,-0.6926210977633664
3,choice_only,projected,15,0.64,-0.6465619841223628
3,choice_only,partial,15,0.64,-0.6465619841223628
3,choice_only,standard,16,0.64,-0.6925970981871914
3,choice_only,projected,16,0.64,-0.6434751162064073
3,choice_only,partial,16,0.64,-0.6434751162064073
3,choice_only,standard,17,0.66,-0.692486942130205
3,choice_only,projected,17,0.64,-0.6378544739512345
3,choice_only,partial,17,0.64,-0.6378544739512345
3,choice_only,standard,18,0.64,-0.6925113303997922
3,choice_only,projected,18,0.66,-0.6388112570868656
3,choice_only,partial,18,0.66,-0.6388112570868656
3,choice_only,standard,19,0.64,-0.6922148744857562
3,choice_only,projected,19,0.66,-0.63254535476983
3,choice_only,partial,19,0.66,-0.63254535476983
3,choice_only,standard,20,0.62,-0.6920820234253117
3,choice_only,projected,20,0.66,-0.627671597940724
3,choice_only,partial,20,0.66,-0.627671597940724
3,inference_affirm,standard,1,0.6,-0.6930964645298289
3,inference_affirm,projected,1,0.58,-0.692023605644674
3,inference_affirm,partial,1,0.52,-0.6929911033670243
3,inference_affirm,standard,2,0.7,-0.6929615429623225
3,inference_affirm,projected,2,0.68,-0.6723552979785175
3,inference_affirm,partial,2,0.68,-0.6681480394560699
3,inference_affirm,standard,3,0.72,-0.6930014112614562
3,inference_affirm,projected,3,0.66,-0.6767769165839966
3,inference_affirm,partial,3,0.68,-0.6699571415144634
3,inference_affirm,standard,4,0.7,-0.6929658787555181
3,inference_affirm,projected,4,0.64,-0.6701556423873479
3,inference_affirm,partial,4,0.64,-0.6636864475264866
3,inference_affirm,standard,5,0.7,-0.6928922869792234
3,inference_affirm,projected,5,0.64,-0.6607858476998654
3,inference_affirm,partial,5,0.7,-0.6566995921627666
